Kod teryt.;Nazwa jednostki;Liczba mieszkańców;Liczba wyborców ujętych w rejestrze wyborców
221302;m. Skórcz;3460;2717
221303;m. Starogard Gdański;45530;36573
221304;gm. Bobowo;3083;2329
221305;gm. Kaliska;5306;4159
221306;gm. Lubichowo;6341;4895
221307;gm. Osieczna;2904;2266
221308;gm. Osiek;2445;2052
221309;gm. Skarszewy;14104;10824
221310;gm. Skórcz;4625;3557
221311;gm. Smętowo Graniczne;5287;4175
221312;gm. Starogard Gdański;15538;11744
221313;gm. Zblewo;11436;8796
221401;m. Tczew;57123;46219
221402;gm. Gniew;15620;12321
221403;gm. Morzeszczyn;3766;2858
221404;gm. Pelplin;16487;12864
221405;gm. Subkowy;5420;4174
221406;gm. Tczew;13515;10210
221501;m. Reda;22806;17614
221502;m. Rumia;45641;36678
221503;m. Wejherowo;46931;37104
221504;gm. Choczewo;5668;4459
221505;gm. Gniewino;7186;5378
221506;gm. Linia;6180;4528
221507;gm. Luzino;14908;10842
221508;gm. Łęczyce;11908;8850
221509;gm. Szemud;16451;12000
221510;gm. Wejherowo;23436;17229
221601;gm. Dzierzgoń;9474;7457
221602;gm. Mikołajki Pomorskie;3672;2890
221603;gm. Stary Dzierzgoń;4182;3312
221604;gm. Stary Targ;6443;5045
221605;gm. Sztum;17978;14452
226101;m. Gdańsk;428377;354533
226201;m. Gdynia;231408;192731
226301;m. Słupsk;88377;73830
226401;m. Sopot;35038;30241
240101;m. Będzin;55034;46232
240102;m. Czeladź;31332;26674
240103;m. Wojkowice;8760;7508
240104;gm. Bobrowniki;11708;9818
240105;gm. Mierzęcice;7391;6164
240106;gm. Psary;11599;9720
240107;gm. Siewierz;12201;10196
240108;m. Sławków;7016;5758
240201;m. Szczyrk;5702;4699
240202;gm. Bestwina;11402;9145
240203;gm. Buczkowice;10953;8781
240204;gm. Czechowice-Dziedzice;43711;35331
240205;gm. Jasienica;23179;18121
240206;gm. Jaworze;6820;5597
240207;gm. Kozy;12537;10067
240208;gm. Porąbka;15411;12402
240209;gm. Wilamowice;16812;13356
240210;gm. Wilkowice;12858;10605
240301;m. Cieszyn;33217;27552
240302;m. Ustroń;15456;12888
240303;m. Wisła;11087;9205
240304;gm. Brenna;10994;8670
240305;gm. Chybie;9641;7556
240306;gm. Dębowiec;5743;4570
240307;gm. Goleszów;12767;10388
240308;gm. Hażlach;10401;8232
240309;gm. Istebna;11993;9120
240310;gm. Skoczów;25782;20669
240311;gm. Strumień;12876;10170
