"Kod TERYT";"Gmina";"Powiat";"Delegatura";"Liczba mieszkańców";"Liczba wyborców ogółem";"Liczba wyborców wpisanych z urzędu";"Liczba wyborców wpisanych na wniosek";"Informacja o liczbie wyborców wpisanych ogółem (art. 19) w części A";"Informacja o liczbie wyborców wpisanych § 1 (Z2A)";"Informacja o liczbie wyborców wpisanych § 2 (Z2B)";"Informacja o liczbie wyborców wpisanych § 3 (Z2C)";"Informacja o liczbie wyborców wpisanych w części B (ZUE)";"Informacja o liczbie wyborców skreślonych (§ 6 ust. 1) w części A ogółem";"Informacja o liczbie wyborców skreślonych w części A pkt 1 (R41)";"Informacja o liczbie wyborców skreślonych w części A pkt 2 (R42)";"Informacja o liczbie wyborców skreślonych w części A pkt 3 (R43)";"Informacja o liczbie wyborców skreślonych (§ 6 ust. 2) w części A (R41b)";"Informacja o liczbie wyborców skreślonych w części B ogółem (RUE)"
"Powiat bolesławiecki";"";"";"";85788;69865;69381;484;481;407;13;61;3;696;206;429;61;0;0
"=""020101""";"m. Bolesławiec";"bolesławiecki";"Jelenia Góra";36307;30221;30142;79;79;63;2;14;0;359;88;257;14;0;0
"=""020102""";"gm. Bolesławiec";"bolesławiecki";"Jelenia Góra";14136;11303;11255;48;48;39;0;9;0;85;30;46;9;0;0
"=""020103""";"gm. Gromadka";"bolesławiecki";"Jelenia Góra";5331;4392;4256;136;134;116;7;11;2;64;19;34;11;0;0
"=""020104""";"gm. Nowogrodziec";"bolesławiecki";"Jelenia Góra";14827;11804;11759;45;45;41;0;4;0;69;33;32;4;0;0
"=""020105""";"gm. Osiecznica";"bolesławiecki";"Jelenia Góra";6704;5374;5246;128;128;112;0;16;0;47;8;23;16;0;0
"=""020106""";"gm. Warta Bolesławiecka";"bolesławiecki";"Jelenia Góra";8483;6771;6723;48;47;36;4;7;1;72;28;37;7;0;0
"Powiat dzierżoniowski";"";"";"";96754;80863;80415;448;446;348;11;87;2;881;256;538;87;0;0
"=""020201""";"m. Bielawa";"dzierżoniowski";"Wałbrzych";28720;24340;24218;122;122;90;0;32;0;251;93;126;32;0;0
"=""020202""";"m. Dzierżoniów";"dzierżoniowski";"Wałbrzych";31146;26113;26059;54;54;41;4;9;0;340;78;253;9;0;0
"=""020203""";"m. Pieszyce";"dzierżoniowski";"Wałbrzych";9110;7488;7363;125;124;100;7;17;1;74;21;36;17;0;0
"=""020204""";"m. Piława Górna";"dzierżoniowski";"Wałbrzych";6051;5044;5023;21;21;13;0;8;0;45;12;25;8;0;0
"=""020205""";"gm. Dzierżoniów";"dzierżoniowski";"Wałbrzych";8999;7374;7360;14;14;11;0;3;0;61;20;38;3;0;0
"=""020206""";"gm. Łagiewniki";"dzierżoniowski";"Wałbrzych";7365;5989;5911;78;77;65;0;12;1;51;7;32;12;0;0
"=""020207""";"gm. Niemcza";"dzierżoniowski";"Wałbrzych";5363;4515;4481;34;34;28;0;6;0;59;25;28;6;0;0
"Powiat głogowski";"";"";"";85021;69108;68550;558;558;465;22;71;0;1072;191;810;71;0;0
"=""020301""";"m. Głogów";"głogowski";"Legnica";63162;51917;51709;208;208;155;0;53;0;905;139;713;53;0;0
"=""020302""";"gm. Głogów";"głogowski";"Legnica";6736;5325;5229;96;96;91;2;3;0;49;11;35;3;0;0
"=""020303""";"gm. Jerzmanowa";"głogowski";"Legnica";5137;3949;3820;129;129;125;0;4;0;30;7;19;4;0;0
"=""020304""";"gm. Kotla";"głogowski";"Legnica";4378;3445;3415;30;30;24;0;6;0;32;10;16;6;0;0
"=""020305""";"gm. Pęcław";"głogowski";"Legnica";2198;1754;1734;20;20;18;1;1;0;21;7;13;1;0;0
"=""020306""";"gm. Żukowice";"głogowski";"Legnica";3410;2718;2643;75;75;52;19;4;0;35;17;14;4;0;0
"Powiat górowski";"";"";"";34109;27708;27388;320;318;265;2;51;2;381;102;228;51;0;0
"=""020401""";"gm. Góra";"górowski";"Wrocław";19222;15609;15523;86;86;59;0;27;0;238;61;150;27;0;0
"=""020402""";"gm. Jemielno";"górowski";"Wrocław";3024;2426;2387;39;39;37;1;1;0;28;7;20;1;0;0
"=""020403""";"gm. Niechlów";"górowski";"Wrocław";4737;3853;3799;54;53;40;1;12;1;54;20;22;12;0;0
"=""020404""";"gm. Wąsosz";"górowski";"Wrocław";7126;5820;5679;141;140;129;0;11;1;61;14;36;11;0;0
"Powiat jaworski";"";"";"";49066;40542;40264;278;277;237;3;37;1;520;155;328;37;0;0
"=""020501""";"m. Jawor";"jaworski";"Jelenia Góra";22073;18573;18498;75;75;62;0;13;0;281;71;197;13;0;0
"=""020502""";"gm. Bolków";"jaworski";"Jelenia Góra";10112;8308;8274;34;33;19;0;14;1;94;31;49;14;0;0
"=""020503""";"gm. Męcinka";"jaworski";"Jelenia Góra";4916;3985;3920;65;65;60;0;5;0;34;8;21;5;0;0
"=""020504""";"gm. Mściwojów";"jaworski";"Jelenia Góra";4034;3229;3190;39;39;38;0;1;0;36;10;25;1;0;0
"=""020505""";"gm. Paszowice";"jaworski";"Jelenia Góra";3923;3225;3197;28;28;25;3;0;0;35;12;23;0;0;0
"=""020506""";"gm. Wądroże Wielkie";"jaworski";"Jelenia Góra";4008;3222;3185;37;37;33;0;4;0;40;23;13;4;0;0
"Powiat karkonoski";"";"";"";60585;50270;49189;1081;1065;866;61;138;16;1031;333;560;138;0;0
"=""020601""";"m. Karpacz";"karkonoski";"Jelenia Góra";4526;3875;3612;263;262;233;5;24;1;99;9;66;24;0;0
"=""020602""";"m. Kowary";"karkonoski";"Jelenia Góra";10055;8422;8366;56;56;42;3;11;0;112;15;86;11;0;0
"=""020603""";"m. Piechowice";"karkonoski";"Jelenia Góra";5944;4999;4892;107;106;76;7;23;1;100;13;64;23;0;0
"=""020604""";"m. Szklarska Poręba";"karkonoski";"Jelenia Góra";5854;5006;4831;175;175;115;20;40;0;184;69;75;40;0;0
"=""020605""";"gm. Janowice Wielkie";"karkonoski";"Jelenia Góra";4147;3342;3276;66;66;61;0;5;0;122;87;30;5;0;0
"=""020606""";"gm. Jeżów Sudecki";"karkonoski";"Jelenia Góra";7227;5837;5744;93;93;82;5;6;0;68;17;45;6;0;0
"=""020607""";"gm. Mysłakowice";"karkonoski";"Jelenia Góra";9734;8022;7909;113;104;80;8;16;9;117;21;80;16;0;0
"=""020608""";"gm. Podgórzyn";"karkonoski";"Jelenia Góra";7938;6544;6406;138;136;121;10;5;2;166;89;72;5;0;0
"=""020609""";"gm. Stara Kamienica";"karkonoski";"Jelenia Góra";5160;4223;4153;70;67;56;3;8;3;63;13;42;8;0;0
"Powiat kamiennogórski";"";"";"";42135;34936;34768;168;167;134;4;29;1;480;196;255;29;0;0
"=""020701""";"m. Kamienna Góra";"kamiennogórski";"Jelenia Góra";18188;15359;15312;47;47;34;1;12;0;186;37;137;12;0;0
"=""020702""";"gm. Kamienna Góra";"kamiennogórski";"Jelenia Góra";8891;7040;7001;39;38;33;0;5;1;175;126;44;5;0;0
"=""020703""";"gm. Lubawka";"kamiennogórski";"Jelenia Góra";10641;8896;8837;59;59;45;3;11;0;96;28;57;11;0;0
"=""020704""";"gm. Marciszów";"kamiennogórski";"Jelenia Góra";4415;3641;3618;23;23;22;0;1;0;23;5;17;1;0;0
"Powiat kłodzki";"";"";"";152490;127520;125755;1765;1727;1276;7;444;39;2245;570;1231;444;1;0
"=""020801""";"m. Duszniki-Zdrój";"kłodzki";"Wałbrzych";4371;3742;3647;95;94;77;5;12;1;62;9;41;12;0;0
"=""020802""";"m. Kłodzko";"kłodzki";"Wałbrzych";24977;21068;20853;215;212;158;1;53;3;335;41;241;53;0;0
"=""020803""";"m. Kudowa-Zdrój";"kłodzki";"Wałbrzych";9472;7964;7835;129;102;82;0;20;27;137;14;103;20;0;0
"=""020804""";"m. Nowa Ruda";"kłodzki";"Wałbrzych";21272;18032;17960;72;71;42;0;29;1;244;56;159;29;0;0
"=""020805""";"m. Polanica-Zdrój";"kłodzki";"Wałbrzych";6149;5312;5119;193;192;128;0;64;1;137;5;68;64;0;0
"=""020806""";"gm. Bystrzyca Kłodzka";"kłodzki";"Wałbrzych";18088;15148;14878;270;266;142;0;124;4;322;66;132;124;0;0
"=""020807""";"gm. Kłodzko";"kłodzki";"Wałbrzych";16846;13685;13599;86;86;75;0;11;0;245;105;129;11;0;0
"=""020808""";"gm. Lądek-Zdrój";"kłodzki";"Wałbrzych";7987;6759;6597;162;161;126;0;35;1;125;14;76;35;0;0
"=""020809""";"gm. Lewin Kłodzki";"kłodzki";"Wałbrzych";1942;1572;1502;70;70;65;1;4;0;25;7;14;4;0;0
"=""020810""";"gm. Międzylesie";"kłodzki";"Wałbrzych";7126;5836;5760;76;75;63;0;12;1;64;11;41;12;0;0
"=""020811""";"gm. Nowa Ruda";"kłodzki";"Wałbrzych";11398;9423;9320;103;103;93;0;10;0;138;60;68;10;0;0
"=""020812""";"gm. Radków";"kłodzki";"Wałbrzych";8793;7259;7174;85;85;70;0;15;0;135;70;50;15;0;0
"=""020813""";"gm. Stronie Śląskie";"kłodzki";"Wałbrzych";6960;5904;5748;156;157;110;0;47;0;124;17;60;47;1;0
"=""020814""";"gm. Szczytna";"kłodzki";"Wałbrzych";7109;5816;5763;53;53;45;0;8;0;152;95;49;8;0;0
"Powiat legnicki";"";"";"";53346;42973;42273;700;698;608;4;86;2;955;544;325;86;0;0
"=""020901""";"m. Chojnów";"legnicki";"Legnica";12544;10445;10399;46;45;19;0;26;1;186;43;117;26;0;0
"=""020902""";"gm. Chojnów";"legnicki";"Legnica";9308;7549;7395;154;154;131;1;22;0;106;24;60;22;0;0
"=""020903""";"gm. Krotoszyce";"legnicki";"Legnica";3216;2589;2534;55;55;55;0;0;0;27;12;15;0;0;0
"=""020904""";"gm. Kunice";"legnicki";"Legnica";6682;5283;5134;149;149;140;0;9;0;68;21;38;9;0;0
"=""020905""";"gm. Legnickie Pole";"legnicki";"Legnica";5121;3873;3769;104;103;93;0;10;1;387;353;24;10;0;0
"=""020906""";"gm. Miłkowice";"legnicki";"Legnica";6577;5261;5126;135;135;119;3;13;0;69;24;32;13;0;0
"=""020907""";"gm. Prochowice";"legnicki";"Legnica";7308;5919;5873;46;46;41;0;5;0;57;25;27;5;0;0
"=""020908""";"gm. Ruja";"legnicki";"Legnica";2590;2054;2043;11;11;10;0;1;0;55;42;12;1;0;0
"Powiat lubański";"";"";"";52398;43493;43061;432;427;326;18;83;5;638;155;400;83;0;0
"=""021001""";"m. Lubań";"lubański";"Jelenia Góra";19854;16816;16719;97;96;58;4;34;1;291;63;194;34;0;0
"=""021002""";"m. Świeradów-Zdrój";"lubański";"Jelenia Góra";3965;3329;3272;57;56;50;1;5;1;54;8;41;5;0;0
"=""021003""";"gm. Leśna";"lubański";"Jelenia Góra";9764;7963;7867;96;94;79;1;14;2;109;33;62;14;0;0
"=""021004""";"gm. Lubań";"lubański";"Jelenia Góra";6456;5193;5131;62;62;53;1;8;0;53;20;25;8;0;0
"=""021005""";"gm. Olszyna";"lubański";"Jelenia Góra";6311;5233;5157;76;76;47;10;19;0;67;13;35;19;0;0
"=""021006""";"gm. Platerówka";"lubański";"Jelenia Góra";1591;1308;1288;20;19;18;0;1;1;17;4;12;1;0;0
"=""021007""";"gm. Siekierczyn";"lubański";"Jelenia Góra";4457;3651;3627;24;24;21;1;2;0;47;14;31;2;0;0
"Powiat lubiński";"";"";"";101345;82931;82082;849;846;641;0;205;3;1355;195;955;205;0;0
"=""021101""";"m. Lubin";"lubiński";"Legnica";68372;56520;56164;356;355;225;0;130;1;1042;125;787;130;0;0
"=""021102""";"gm. Lubin";"lubiński";"Legnica";15749;12434;12252;182;181;178;0;3;1;125;32;90;3;0;0
"=""021103""";"gm. Rudna";"lubiński";"Legnica";7752;6170;5957;213;213;156;0;57;0;96;16;23;57;0;0
"=""021104""";"gm. Ścinawa";"lubiński";"Legnica";9472;7807;7709;98;97;82;0;15;1;92;22;55;15;0;0
"Powiat lwówecki";"";"";"";44313;36913;36462;451;443;315;15;113;8;547;139;295;113;0;0
"=""021201""";"gm. Gryfów Śląski";"lwówecki";"Jelenia Góra";9310;7861;7824;37;36;22;3;11;1;118;26;81;11;0;0
"=""021202""";"gm. Lubomierz";"lwówecki";"Jelenia Góra";5816;4789;4665;124;123;86;2;35;1;88;15;38;35;0;0
"=""021203""";"gm. Lwówek Śląski";"lwówecki";"Jelenia Góra";16714;13798;13681;117;116;73;4;39;1;188;40;109;39;0;0
"=""021204""";"gm. Mirsk";"lwówecki";"Jelenia Góra";8328;6987;6892;95;92;74;1;17;3;76;24;35;17;0;0
"=""021205""";"gm. Wleń";"lwówecki";"Jelenia Góra";4145;3478;3400;78;76;60;5;11;2;77;34;32;11;0;0
"Powiat milicki";"";"";"";36529;29174;28906;268;267;194;1;72;1;414;159;183;72;0;0
"=""021301""";"gm. Cieszków";"milicki";"Wrocław";4749;3758;3685;73;73;52;0;21;0;58;15;22;21;0;0
"=""021302""";"gm. Krośnice";"milicki";"Wrocław";8080;6394;6338;56;56;46;1;9;0;122;80;33;9;0;0
"=""021303""";"gm. Milicz";"milicki";"Wrocław";23700;19022;18883;139;138;96;0;42;1;234;64;128;42;0;0
"Powiat oleśnicki";"";"";"";103890;83942;83260;682;680;553;15;112;2;1016;325;579;112;0;0
"=""021401""";"m. Oleśnica";"oleśnicki";"Wrocław";35309;28910;28690;220;220;159;8;53;0;408;57;298;53;0;0
"=""021402""";"gm. Bierutów";"oleśnicki";"Wrocław";9758;8045;7972;73;73;50;2;21;0;113;55;37;21;0;0
"=""021403""";"gm. Dobroszyce";"oleśnicki";"Wrocław";6714;5278;5175;103;103;94;1;8;0;59;25;26;8;0;0
"=""021404""";"gm. Dziadowa Kłoda";"oleśnicki";"Wrocław";4585;3590;3567;23;23;20;0;3;0;27;9;15;3;0;0
"=""021405""";"gm. Międzybórz";"oleśnicki";"Wrocław";5045;4002;3964;38;37;32;0;5;1;40;12;23;5;0;0
"=""021406""";"gm. Oleśnica";"oleśnicki";"Wrocław";13422;10551;10449;102;102;96;3;3;0;180;117;60;3;0;0
"=""021407""";"gm. Syców";"oleśnicki";"Wrocław";16358;13214;13151;63;62;53;0;9;1;110;30;71;9;0;0
"=""021408""";"gm. Twardogóra";"oleśnicki";"Wrocław";12699;10352;10292;60;60;49;1;10;0;79;20;49;10;0;0
"Powiat oławski";"";"";"";73680;59529;58891;638;635;517;1;117;4;687;131;439;117;1;0
"=""021501""";"m. Oława";"oławski";"Wrocław";31267;25460;25285;175;172;131;0;41;3;339;62;236;41;0;0
"=""021502""";"gm. Domaniów";"oławski";"Wrocław";5192;4171;4103;68;67;64;1;2;1;22;5;15;2;0;0
"=""021503""";"gm. Jelcz-Laskowice";"oławski";"Wrocław";22263;17986;17741;245;246;182;0;64;0;204;27;113;64;1;0
"=""021504""";"gm. Oława";"oławski";"Wrocław";14958;11912;11762;150;150;140;0;10;0;122;37;75;10;0;0
"Powiat polkowicki";"";"";"";60592;48557;47881;676;676;430;1;245;0;802;141;416;245;0;0
"=""021601""";"gm. Chocianów";"polkowicki";"Legnica";12512;10149;9989;160;160;114;1;45;0;162;32;85;45;0;0
"=""021602""";"gm. Gaworzyce";"polkowicki";"Legnica";3851;3059;2982;77;77;57;0;20;0;55;18;17;20;0;0
"=""021603""";"gm. Grębocice";"polkowicki";"Legnica";5340;4195;4171;24;24;20;0;4;0;40;10;26;4;0;0
"=""021604""";"gm. Polkowice";"polkowicki";"Legnica";25962;20710;20396;314;314;150;0;164;0;410;46;200;164;0;0
"=""021605""";"gm. Przemków";"polkowicki";"Legnica";8127;6656;6627;29;29;27;0;2;0;95;25;68;2;0;0
"=""021606""";"gm. Radwanice";"polkowicki";"Legnica";4800;3788;3716;72;72;62;0;10;0;40;10;20;10;0;0
"Powiat strzeliński";"";"";"";42833;35087;34724;363;357;285;1;71;6;350;71;208;71;0;0
"=""021701""";"gm. Borów";"strzeliński";"Wrocław";5241;4335;4282;53;53;44;0;9;0;54;7;38;9;0;0
"=""021702""";"gm. Kondratowice";"strzeliński";"Wrocław";4345;3538;3448;90;85;72;1;12;5;43;10;21;12;0;0
"=""021703""";"gm. Przeworno";"strzeliński";"Wrocław";4775;3919;3879;40;40;31;0;9;0;33;11;13;9;0;0
"=""021704""";"gm. Strzelin";"strzeliński";"Wrocław";21275;17476;17378;98;97;70;0;27;1;155;29;99;27;0;0
"=""021705""";"gm. Wiązów";"strzeliński";"Wrocław";7197;5819;5737;82;82;68;0;14;0;65;14;37;14;0;0
"Powiat średzki";"";"";"";53265;42756;41988;768;765;648;0;117;3;461;94;250;117;0;0
"=""021801""";"gm. Kostomłoty";"średzki";"Wrocław";7041;5714;5622;92;92;81;0;11;0;45;8;26;11;0;0
"=""021802""";"gm. Malczyce";"średzki";"Wrocław";5703;4703;4622;81;79;55;0;24;2;64;10;30;24;0;0
"=""021803""";"gm. Miękinia";"średzki";"Wrocław";16286;12524;12202;322;321;291;0;30;1;125;33;62;30;0;0
"=""021804""";"gm. Środa Śląska";"średzki";"Wrocław";19097;15567;15385;182;182;136;0;46;0;182;31;105;46;0;0
"=""021805""";"gm. Udanin";"średzki";"Wrocław";5138;4248;4157;91;91;85;0;6;0;45;12;27;6;0;0
"Powiat świdnicki";"";"";"";150703;124700;123938;762;746;603;24;119;16;1312;358;835;119;0;0
"=""021901""";"m. Świdnica";"świdnicki";"Wałbrzych";53344;44755;44549;206;200;144;5;51;6;553;120;382;51;0;0
"=""021902""";"m. Świebodzice";"świdnicki";"Wałbrzych";21476;17814;17731;83;83;67;0;16;0;153;41;96;16;0;0
"=""021903""";"gm. Dobromierz";"świdnicki";"Wałbrzych";5153;4234;4166;68;68;61;0;7;0;83;50;26;7;0;0
"=""021904""";"gm. Jaworzyna Śląska";"świdnicki";"Wałbrzych";10148;8306;8235;71;67;52;0;15;4;66;12;39;15;0;0
"=""021905""";"gm. Marcinowice";"świdnicki";"Wałbrzych";6354;5181;5116;65;63;56;0;7;2;54;18;29;7;0;0
"=""021906""";"gm. Strzegom";"świdnicki";"Wałbrzych";25059;20821;20778;43;42;31;0;11;1;204;55;138;11;0;0
"=""021907""";"gm. Świdnica";"świdnicki";"Wałbrzych";16917;13632;13499;133;131;118;12;1;2;103;35;67;1;0;0
"=""021908""";"gm. Żarów";"świdnicki";"Wałbrzych";12252;9957;9864;93;92;74;7;11;1;96;27;58;11;0;0
"Powiat trzebnicki";"";"";"";83083;66824;65302;1522;1514;1351;6;157;9;869;233;479;157;1;0
"=""022001""";"gm. Oborniki Śląskie";"trzebnicki";"Wrocław";19777;16008;15538;470;469;416;0;53;1;263;113;97;53;0;0
"=""022002""";"gm. Prusice";"trzebnicki";"Wrocław";9316;7566;7362;204;204;161;0;43;0;89;13;33;43;0;0
"=""022003""";"gm. Trzebnica";"trzebnicki";"Wrocław";23482;18656;18480;176;174;145;4;25;2;250;54;171;25;0;0
"=""022004""";"gm. Wisznia Mała";"trzebnicki";"Wrocław";10236;8178;7713;465;464;451;1;12;2;91;14;65;12;1;0
"=""022005""";"gm. Zawonia";"trzebnicki";"Wrocław";5888;4722;4586;136;133;126;1;6;3;54;12;36;6;0;0
"=""022006""";"gm. Żmigród";"trzebnicki";"Wrocław";14384;11694;11623;71;70;52;0;18;1;122;27;77;18;0;0
"Powiat wałbrzyski";"";"";"";53218;44639;44147;492;487;380;0;107;6;481;81;293;107;1;0
"=""022101""";"m. Boguszów-Gorce";"wałbrzyski";"Wałbrzych";14295;12136;12073;63;60;37;0;23;3;140;28;89;23;0;0
"=""022102""";"m. Jedlina-Zdrój";"wałbrzyski";"Wałbrzych";4589;3800;3765;35;35;29;0;6;0;47;14;27;6;0;0
"=""022103""";"m. Szczawno-Zdrój";"wałbrzyski";"Wałbrzych";5340;4552;4478;74;73;67;0;6;1;46;7;33;6;0;0
"=""022104""";"gm. Czarny Bór";"wałbrzyski";"Wałbrzych";4812;3883;3835;48;48;32;0;16;0;34;5;13;16;0;0
"=""022105""";"gm. Głuszyca";"wałbrzyski";"Wałbrzych";8296;7016;6956;60;60;46;0;14;0;60;9;37;14;0;0
"=""022106""";"gm. Mieroszów";"wałbrzyski";"Wałbrzych";6305;5318;5244;74;75;50;0;25;0;66;7;34;25;1;0
"=""022107""";"gm. Stare Bogaczowice";"wałbrzyski";"Wałbrzych";4167;3408;3354;54;54;48;0;6;0;35;4;25;6;0;0
"=""022108""";"gm. Walim";"wałbrzyski";"Wałbrzych";5414;4526;4442;84;82;71;0;11;2;53;7;35;11;0;0
"Powiat wołowski";"";"";"";45470;37484;37098;386;382;283;9;90;4;404;78;236;90;0;0
"=""022201""";"gm. Brzeg Dolny";"wołowski";"Wrocław";15623;12862;12791;71;69;51;0;18;2;111;22;71;18;0;0
"=""022202""";"gm. Wińsko";"wołowski";"Wrocław";8315;6852;6670;182;180;138;7;35;2;91;13;43;35;0;0
"=""022203""";"gm. Wołów";"wołowski";"Wrocław";21532;17770;17637;133;133;94;2;37;0;202;43;122;37;0;0
"Powiat wrocławski";"";"";"";145187;111697;107363;4334;4309;4068;0;241;26;1129;211;677;241;1;0
"=""022301""";"gm. Czernica";"wrocławski";"Wrocław";15589;11898;11316;582;578;560;0;18;4;128;29;81;18;0;0
"=""022302""";"gm. Długołęka";"wrocławski";"Wrocław";32867;25107;23662;1445;1436;1386;0;50;9;206;30;126;50;0;0
"=""022303""";"gm. Jordanów Śląski";"wrocławski";"Wrocław";3171;2563;2502;61;61;60;0;1;0;24;4;19;1;0;0
"=""022304""";"gm. Kąty Wrocławskie";"wrocławski";"Wrocław";23874;18440;17929;511;507;467;0;40;4;184;49;95;40;0;0
"=""022305""";"gm. Kobierzyce";"wrocławski";"Wrocław";20458;15172;14743;429;429;383;0;46;1;185;20;119;46;1;0
"=""022306""";"gm. Mietków";"wrocławski";"Wrocław";3832;3072;2961;111;110;92;0;18;1;53;13;22;18;0;0
"=""022307""";"gm. Sobótka";"wrocławski";"Wrocław";12587;10279;10063;216;215;182;0;33;1;120;25;62;33;0;0
"=""022308""";"gm. Siechnice";"wrocławski";"Wrocław";21967;16650;16095;555;551;531;0;20;4;144;22;102;20;0;0
"=""022309""";"gm. Żórawina";"wrocławski";"Wrocław";10842;8516;8092;424;422;407;0;15;2;85;19;51;15;0;0
"Powiat ząbkowicki";"";"";"";63317;52956;52464;492;486;352;9;125;6;777;290;362;125;0;0
"=""022401""";"gm. Bardo";"ząbkowicki";"Wałbrzych";5235;4300;4219;81;80;73;0;7;1;149;113;29;7;0;0
"=""022402""";"gm. Ciepłowody";"ząbkowicki";"Wałbrzych";3086;2505;2454;51;51;43;1;7;0;28;7;14;7;0;0
"=""022403""";"gm. Kamieniec Ząbkowicki";"ząbkowicki";"Wałbrzych";8034;6684;6604;80;80;54;0;26;0;81;8;47;26;0;0
"=""022404""";"gm. Stoszowice";"ząbkowicki";"Wałbrzych";5269;4361;4336;25;25;24;1;0;0;48;13;35;0;0;0
"=""022405""";"gm. Ząbkowice Śląskie";"ząbkowicki";"Wałbrzych";20874;17658;17517;141;139;72;6;61;2;249;71;117;61;0;0
"=""022406""";"gm. Ziębice";"ząbkowicki";"Wałbrzych";16465;13753;13690;63;61;47;0;14;2;170;68;88;14;0;0
"=""022407""";"gm. Złoty Stok";"ząbkowicki";"Wałbrzych";4354;3695;3644;51;50;39;1;10;1;52;10;32;10;0;0
"Powiat zgorzelecki";"";"";"";86179;71654;70923;731;728;428;71;229;3;1059;218;612;229;0;0
"=""022501""";"m. Zawidów";"zgorzelecki";"Jelenia Góra";4037;3339;3317;22;22;18;0;4;0;42;6;32;4;0;0
"=""022502""";"m. Zgorzelec";"zgorzelecki";"Jelenia Góra";28781;24536;24308;228;227;124;34;69;1;429;91;269;69;0;0
"=""022503""";"gm. Bogatynia";"zgorzelecki";"Jelenia Góra";22416;18447;18277;170;170;65;23;82;0;251;63;106;82;0;0
"=""022504""";"gm. Pieńsk";"zgorzelecki";"Jelenia Góra";8648;7069;7010;59;59;27;1;31;0;103;21;51;31;0;0
"=""022505""";"gm. Sulików";"zgorzelecki";"Jelenia Góra";5944;4801;4731;70;70;61;0;9;0;58;10;39;9;0;0
"=""022506""";"gm. Węgliniec";"zgorzelecki";"Jelenia Góra";8095;6742;6695;47;47;29;4;14;0;71;13;44;14;0;0
"=""022507""";"gm. Zgorzelec";"zgorzelecki";"Jelenia Góra";8258;6720;6585;135;133;104;9;20;2;105;14;71;20;0;0
"Powiat złotoryjski";"";"";"";42372;34914;34693;221;217;170;0;47;4;443;131;265;47;0;0
"=""022601""";"m. Wojcieszów";"złotoryjski";"Jelenia Góra";3544;2957;2923;34;34;23;0;11;0;50;11;28;11;0;0
"=""022602""";"m. Złotoryja";"złotoryjski";"Jelenia Góra";14773;12346;12275;71;70;51;0;19;1;188;67;102;19;0;0
"=""022603""";"gm. Pielgrzymka";"złotoryjski";"Jelenia Góra";4559;3670;3645;25;24;23;0;1;1;22;4;17;1;0;0
"=""022604""";"gm. Świerzawa";"złotoryjski";"Jelenia Góra";7378;6082;6036;46;45;30;0;15;1;73;14;44;15;0;0
"=""022605""";"gm. Zagrodno";"złotoryjski";"Jelenia Góra";5189;4298;4280;18;17;17;0;0;1;47;17;30;0;0;0
"=""022606""";"gm. Złotoryja";"złotoryjski";"Jelenia Góra";6929;5561;5534;27;27;26;0;1;0;63;18;44;1;0;0
"Miasto na prawach powiatu";"";"";""
"=""026101""";"m. Jelenia Góra";"Jelenia Góra";"Jelenia Góra";72867;61983;61300;683;680;356;92;232;3;1274;217;825;232;0;0
"Miasto na prawach powiatu";"";"";""
"=""026201""";"m. Legnica";"Legnica";"Legnica";91557;75759;75456;303;298;205;0;93;5;1349;387;869;93;0;0
"Miasto na prawach powiatu";"";"";""
"=""026401""";"m. Wrocław";"Wrocław";"Wrocław";584673;478808;471750;7058;6952;6154;10;788;106;10161;1455;7918;788;0;0
"Miasto na prawach powiatu";"";"";""
"=""026501""";"m. Wałbrzych";"Wałbrzych";"Wałbrzych";99993;85118;84735;383;378;168;12;198;5;1097;229;670;198;0;0
"Powiat aleksandrowski";"";"";"";53936;44142;43724;418;415;365;5;45;3;552;164;343;45;0;0
"=""040101""";"m. Aleksandrów Kujawski";"aleksandrowski";"Włocławek";11661;9595;9542;53;53;45;1;7;0;104;16;81;7;0;0
"=""040102""";"m. Ciechocinek";"aleksandrowski";"Włocławek";9984;8501;8370;131;130;114;0;16;1;138;17;105;16;0;0
"=""040103""";"m. Nieszawa";"aleksandrowski";"Włocławek";1884;1582;1537;45;44;35;2;7;1;27;3;17;7;0;0
"=""040104""";"gm. Aleksandrów Kujawski";"aleksandrowski";"Włocławek";11730;9254;9193;61;60;54;0;6;1;133;65;62;6;0;0
"=""040105""";"gm. Bądkowo";"aleksandrowski";"Włocławek";4301;3491;3475;16;16;13;0;3;0;24;5;16;3;0;0
"=""040106""";"gm. Koneck";"aleksandrowski";"Włocławek";3205;2641;2638;3;3;3;0;0;0;20;3;17;0;0;0
"=""040107""";"gm. Raciążek";"aleksandrowski";"Włocławek";3132;2538;2479;59;59;56;1;2;0;42;22;18;2;0;0
"=""040108""";"gm. Waganiec";"aleksandrowski";"Włocławek";4525;3676;3643;33;33;29;1;3;0;28;6;19;3;0;0
"=""040109""";"gm. Zakrzewo";"aleksandrowski";"Włocławek";3514;2864;2847;17;17;16;0;1;0;36;27;8;1;0;0
"Powiat brodnicki";"";"";"";76980;60971;60591;380;380;288;4;88;0;651;148;415;88;0;0
"=""040201""";"m. Brodnica";"brodnicki";"Toruń";26617;21589;21456;133;133;70;1;62;0;283;46;175;62;0;0
"=""040202""";"gm. Bobrowo";"brodnicki";"Toruń";6324;5020;4991;29;29;28;0;1;0;29;6;22;1;0;0
