"Kod TERYT";"Gmina";"Powiat";"Delegatura";"Liczba mieszkańców";"Liczba wyborców ogółem";"Liczba wyborców wpisanych z urzędu";"Liczba wyborców wpisanych na wniosek";"Informacja o liczbie wyborców wpisanych ogółem (art. 19) w części A";"Informacja o liczbie wyborców wpisanych § 1 (Z2A)";"Informacja o liczbie wyborców wpisanych § 2 (Z2B)";"Informacja o liczbie wyborców wpisanych § 3 (Z2C)";"Informacja o liczbie wyborców wpisanych w części B (ZUE)";"Informacja o liczbie wyborców skreślonych (§ 6 ust. 1) w części A ogółem";"Informacja o liczbie wyborców skreślonych w części A pkt 1 (R41)";"Informacja o liczbie wyborców skreślonych w części A pkt 2 (R42)";"Informacja o liczbie wyborców skreślonych w części A pkt 3 (R43)";"Informacja o liczbie wyborców skreślonych (§ 6 ust. 2) w części A (R41b)";"Informacja o liczbie wyborców skreślonych w części B ogółem (RUE)"
"=""121704""";"gm. Kościelisko";"tatrzański";"Nowy Sącz";8564;6874;6776;98;98;88;0;10;0;72;11;51;10;0;0
"=""121705""";"gm. Poronin";"tatrzański";"Nowy Sącz";11529;8905;8849;56;55;51;0;4;1;69;20;45;4;0;0
"Powiat wadowicki";"";"";"";158113;126145;125151;994;990;848;2;140;5;1154;331;683;140;1;0
"=""121801""";"gm. Andrychów";"wadowicki";"Kraków";42890;34350;34189;161;161;126;0;35;0;282;54;193;35;0;0
"=""121802""";"gm. Brzeźnica";"wadowicki";"Kraków";10353;8211;8052;159;159;140;0;19;0;65;15;31;19;0;0
"=""121803""";"gm. Kalwaria Zebrzydowska";"wadowicki";"Kraków";19735;15877;15715;162;162;133;0;29;0;191;55;107;29;0;0
"=""121804""";"gm. Lanckorona";"wadowicki";"Kraków";6192;4865;4786;79;78;77;1;0;1;78;62;16;0;0;0
"=""121805""";"gm. Mucharz";"wadowicki";"Kraków";4148;3258;3230;28;28;25;0;3;0;27;6;18;3;0;0
"=""121806""";"gm. Spytkowice";"wadowicki";"Kraków";10315;8201;8163;38;38;34;0;4;0;46;15;27;4;0;0
"=""121807""";"gm. Stryszów";"wadowicki";"Kraków";6938;5528;5474;54;55;52;1;2;0;27;8;17;2;1;0
