"Kod TERYT";"Gmina";"Powiat";"Delegatura";"Liczba mieszkańców";"Liczba wyborców ogółem";"Liczba wyborców ujętych w stałym obwodzie w CRW z urzędu na podstawie adresu stałego zameldowania";"Liczba wyborców ujętych w stałym obwodzie w CRW na wniosek";"w tym liczba wyborców posiadających obywatelstwo krajów UE";"w tym liczba wyborców posiadających obywatelstwo UK";"Liczba osób pozbawionych prawa wybierania ogółem";"w tym liczba osób pozbawionych prawa wybierania posiadających obywatelstwo krajów UE";"w tym liczba osób pozbawionych prawa wybierania posiadających obywatelstwo UK"
"=""086101""";"m. Gorzów Wielkopolski";"Gorzów Wielkopolski";"Gorzów Wielkopolski";106660;88131;87559;572;1;0;279;0;0
"Miasto na prawach powiatu";"";"";""
"=""086201""";"m. Zielona Góra";"Zielona Góra";"Zielona Góra";127973;104180;103519;661;3;0;331;0;0
"Powiat bełchatowski";"";"";"";108467;87434;86610;824;1;0;289;0;0
"=""100101""";"m. Bełchatów";"bełchatowski";"Piotrków Trybunalski";52116;42669;42483;186;0;0;129;0;0
"=""100102""";"gm. Bełchatów";"bełchatowski";"Piotrków Trybunalski";12524;9838;9733;105;1;0;27;0;0
"=""100103""";"gm. Drużbice";"bełchatowski";"Piotrków Trybunalski";5219;4220;4079;141;0;0;12;0;0
"=""100104""";"gm. Kleszczów";"bełchatowski";"Piotrków Trybunalski";6795;4965;4936;29;0;0;7;0;0
"=""100105""";"gm. Kluki";"bełchatowski";"Piotrków Trybunalski";4396;3553;3474;79;0;0;3;0;0
"=""100106""";"gm. Rusiec";"bełchatowski";"Piotrków Trybunalski";4916;4020;3887;133;0;0;22;0;0
"=""100107""";"gm. Szczerców";"bełchatowski";"Piotrków Trybunalski";8113;6547;6449;98;0;0;20;0;0
"=""100108""";"gm. Zelów";"bełchatowski";"Piotrków Trybunalski";14388;11622;11569;53;0;0;69;0;0
"Powiat kutnowski";"";"";"";89909;75082;74561;521;2;0;266;0;0
"=""100201""";"m. Kutno";"kutnowski";"Łódź";40080;33833;33623;210;2;0;128;0;0
"=""100202""";"gm. Bedlno";"kutnowski";"Łódź";5124;4254;4212;42;0;0;51;0;0
"=""100203""";"gm. Dąbrowice";"kutnowski";"Łódź";1842;1516;1475;41;0;0;0;0;0
"=""100204""";"gm. Krośniewice";"kutnowski";"Łódź";7710;6407;6373;34;0;0;12;0;0
"=""100205""";"gm. Krzyżanów";"kutnowski";"Łódź";4084;3359;3342;17;0;0;6;0;0
"=""100206""";"gm. Kutno";"kutnowski";"Łódź";8630;7012;6989;23;0;0;9;0;0
"=""100207""";"gm. Łanięta";"kutnowski";"Łódź";2215;1775;1749;26;0;0;36;0;0
"=""100208""";"gm. Nowe Ostrowy";"kutnowski";"Łódź";3279;2764;2743;21;0;0;1;0;0
"=""100209""";"gm. Oporów";"kutnowski";"Łódź";2448;1995;1948;47;0;0;2;0;0
"=""100210""";"gm. Strzelce";"kutnowski";"Łódź";3738;3099;3054;45;0;0;6;0;0
"=""100211""";"gm. Żychlin";"kutnowski";"Łódź";10759;9068;9053;15;0;0;15;0;0
"Powiat łaski";"";"";"";48118;39532;39168;364;0;0;108;0;0
"=""100301""";"gm. Buczek";"łaski";"Łódź";5055;4073;4045;28;0;0;15;0;0
"=""100302""";"gm. Łask";"łaski";"Łódź";26255;21639;21514;125;0;0;51;0;0
"=""100303""";"gm. Sędziejowice";"łaski";"Łódź";6245;5116;5048;68;0;0;12;0;0
"=""100304""";"gm. Widawa";"łaski";"Łódź";7034;5864;5766;98;0;0;20;0;0
"=""100305""";"gm. Wodzierady";"łaski";"Łódź";3529;2840;2795;45;0;0;10;0;0
"Powiat łęczycki";"";"";"";47311;39054;38724;330;3;0;129;0;0
"=""100401""";"m. Łęczyca";"łęczycki";"Łódź";12774;10665;10531;134;0;0;31;0;0
"=""100402""";"gm. Daszyna";"łęczycki";"Łódź";3757;3076;3046;30;1;0;6;0;0
"=""100403""";"gm. Góra Świętej Małgorzaty";"łęczycki";"Łódź";4301;3479;3456;23;1;0;42;0;0
"=""100404""";"gm. Grabów";"łęczycki";"Łódź";5599;4642;4601;41;0;0;10;0;0
"=""100405""";"gm. Łęczyca";"łęczycki";"Łódź";8309;6774;6734;40;0;0;19;0;0
"=""100406""";"gm. Piątek";"łęczycki";"Łódź";5704;4699;4664;35;1;0;10;0;0
"=""100407""";"gm. Świnice Warckie";"łęczycki";"Łódź";3774;3130;3117;13;0;0;4;0;0
"=""100408""";"gm. Witonia";"łęczycki";"Łódź";3093;2589;2575;14;0;0;7;0;0
"Powiat łowicki";"";"";"";74368;60920;60578;342;0;0;120;0;0
"=""100501""";"m. Łowicz";"łowicki";"Łódź";25838;21439;21345;94;0;0;30;0;0
"=""100502""";"gm. Bielawy";"łowicki";"Łódź";5085;4222;4123;99;0;0;20;0;0
"=""100503""";"gm. Chąśno";"łowicki";"Łódź";2913;2399;2394;5;0;0;0;0;0
"=""100504""";"gm. Domaniewice";"łowicki";"Łódź";4557;3618;3598;20;0;0;4;0;0
"=""100505""";"gm. Kiernozia";"łowicki";"Łódź";3210;2671;2650;21;0;0;7;0;0
"=""100506""";"gm. Kocierzew Południowy";"łowicki";"Łódź";4076;3326;3320;6;0;0;10;0;0
"=""100507""";"gm. Łowicz";"łowicki";"Łódź";7725;6194;6171;23;0;0;5;0;0
"=""100508""";"gm. Łyszkowice";"łowicki";"Łódź";6435;5202;5177;25;0;0;23;0;0
"=""100509""";"gm. Nieborów";"łowicki";"Łódź";9203;7434;7401;33;0;0;12;0;0
"=""100510""";"gm. Zduny";"łowicki";"Łódź";5326;4415;4399;16;0;0;9;0;0
"Powiat łódzki wschodni";"";"";"";71515;57436;56593;843;0;0;190;0;0
"=""100602""";"gm. Andrespol";"łódzki wschodni";"Łódź";14228;11416;11235;181;0;0;75;0;0
"=""100603""";"gm. Brójce";"łódzki wschodni";"Łódź";6889;5385;5287;98;0;0;12;0;0
"=""100607""";"gm. Koluszki";"łódzki wschodni";"Łódź";22338;18268;18087;181;0;0;64;0;0
"=""100608""";"gm. Nowosolna";"łódzki wschodni";"Łódź";5334;4235;4061;174;0;0;4;0;0
"=""100610""";"gm. Rzgów";"łódzki wschodni";"Łódź";10485;8275;8215;60;0;0;22;0;0
"=""100611""";"gm. Tuszyn";"łódzki wschodni";"Łódź";12241;9857;9708;149;0;0;13;0;0
"Powiat opoczyński";"";"";"";73959;59704;59170;534;3;0;140;0;0
"=""100701""";"gm. Białaczów";"opoczyński";"Skierniewice";5629;4590;4503;87;1;0;6;0;0
"=""100702""";"gm. Drzewica";"opoczyński";"Skierniewice";10199;8312;8278;34;2;0;21;0;0
"=""100703""";"gm. Mniszków";"opoczyński";"Skierniewice";4740;3755;3681;74;0;0;8;0;0
"=""100704""";"gm. Opoczno";"opoczyński";"Skierniewice";32466;26389;26284;105;0;0;49;0;0
"=""100705""";"gm. Paradyż";"opoczyński";"Skierniewice";4350;3417;3385;32;0;0;23;0;0
"=""100706""";"gm. Poświętne";"opoczyński";"Skierniewice";3105;2539;2490;49;0;0;2;0;0
"=""100707""";"gm. Sławno";"opoczyński";"Skierniewice";7726;5985;5949;36;0;0;16;0;0
"=""100708""";"gm. Żarnów";"opoczyński";"Skierniewice";5744;4717;4600;117;0;0;15;0;0
"Powiat pabianicki";"";"";"";110941;91298;90351;947;3;0;206;0;0
"=""100801""";"m. Konstantynów Łódzki";"pabianicki";"Łódź";17881;14522;14255;267;1;0;67;0;0
"=""100802""";"m. Pabianice";"pabianicki";"Łódź";56443;47603;47403;200;0;0;77;0;0
"=""100803""";"gm. Dłutów";"pabianicki";"Łódź";4707;3768;3702;66;0;0;8;0;0
"=""100804""";"gm. Dobroń";"pabianicki";"Łódź";7715;6201;6125;76;0;0;14;0;0
"=""100805""";"gm. Ksawerów";"pabianicki";"Łódź";7422;6013;5930;83;0;0;12;0;0
"=""100806""";"gm. Lutomiersk";"pabianicki";"Łódź";8661;6949;6819;130;1;0;18;0;0
"=""100807""";"gm. Pabianice";"pabianicki";"Łódź";8112;6242;6117;125;1;0;10;0;0
"Powiat pajęczański";"";"";"";49616;40788;40295;493;1;0;94;0;0
"=""100901""";"gm. Działoszyn";"pajęczański";"Sieradz";11747;9668;9596;72;0;0;24;0;0
"=""100902""";"gm. Kiełczygłów";"pajęczański";"Sieradz";3887;3236;3190;46;0;0;4;0;0
"=""100903""";"gm. Nowa Brzeźnica";"pajęczański";"Sieradz";4361;3657;3616;41;1;0;4;0;0
"=""100904""";"gm. Pajęczno";"pajęczański";"Sieradz";11153;9127;9046;81;0;0;25;0;0
"=""100905""";"gm. Rząśnia";"pajęczański";"Sieradz";4987;3976;3865;111;0;0;11;0;0
"=""100906""";"gm. Siemkowice";"pajęczański";"Sieradz";4751;3876;3825;51;0;0;8;0;0
"=""100907""";"gm. Strzelce Wielkie";"pajęczański";"Sieradz";4369;3674;3654;20;0;0;10;0;0
"=""100908""";"gm. Sulmierzyce";"pajęczański";"Sieradz";4361;3574;3503;71;0;0;8;0;0
"Powiat piotrkowski";"";"";"";89920;72025;71145;880;2;0;266;0;0
"=""101001""";"gm. Aleksandrów";"piotrkowski";"Piotrków Trybunalski";4381;3581;3415;166;0;0;15;0;0
"=""101002""";"gm. Czarnocin";"piotrkowski";"Piotrków Trybunalski";3982;3193;3150;43;0;0;9;0;0
"=""101003""";"gm. Gorzkowice";"piotrkowski";"Piotrków Trybunalski";8355;6756;6623;133;0;0;14;0;0
"=""101004""";"gm. Grabica";"piotrkowski";"Piotrków Trybunalski";6049;4732;4723;9;0;0;15;0;0
"=""101005""";"gm. Łęki Szlacheckie";"piotrkowski";"Piotrków Trybunalski";3330;2749;2670;79;1;0;14;0;0
"=""101006""";"gm. Moszczenica";"piotrkowski";"Piotrków Trybunalski";12589;10080;10059;21;0;0;30;0;0
"=""101007""";"gm. Ręczno";"piotrkowski";"Piotrków Trybunalski";3537;2867;2798;69;0;0;4;0;0
"=""101008""";"gm. Rozprza";"piotrkowski";"Piotrków Trybunalski";12058;9538;9474;64;0;0;77;0;0
"=""101009""";"gm. Sulejów";"piotrkowski";"Piotrków Trybunalski";16056;13007;12831;176;0;0;37;0;0
"=""101010""";"gm. Wola Krzysztoporska";"piotrkowski";"Piotrków Trybunalski";11821;9366;9332;34;0;0;33;0;0
"=""101011""";"gm. Wolbórz";"piotrkowski";"Piotrków Trybunalski";7762;6156;6070;86;1;0;18;0;0
"Powiat poddębicki";"";"";"";39821;32746;32273;473;0;0;115;0;0
"=""101101""";"gm. Dalików";"poddębicki";"Łódź";3975;3224;3150;74;0;0;6;0;0
"=""101102""";"gm. Pęczniew";"poddębicki";"Łódź";3469;2840;2779;61;0;0;13;0;0
"=""101103""";"gm. Poddębice";"poddębicki";"Łódź";14598;12111;11945;166;0;0;21;0;0
"=""101104""";"gm. Uniejów";"poddębicki";"Łódź";6700;5573;5528;45;0;0;19;0;0
"=""101105""";"gm. Wartkowice";"poddębicki";"Łódź";6197;4997;4957;40;0;0;50;0;0
"=""101106""";"gm. Zadzim";"poddębicki";"Łódź";4882;4001;3914;87;0;0;6;0;0
"Powiat radomszczański";"";"";"";106546;88202;87248;954;1;0;232;0;0
"=""101201""";"m. Radomsko";"radomszczański";"Piotrków Trybunalski";41876;35225;34999;226;1;0;76;0;0
"=""101202""";"gm. Dobryszyce";"radomszczański";"Piotrków Trybunalski";4349;3482;3447;35;0;0;2;0;0
"=""101203""";"gm. Gidle";"radomszczański";"Piotrków Trybunalski";5806;4830;4791;39;0;0;13;0;0
"=""101204""";"gm. Gomunice";"radomszczański";"Piotrków Trybunalski";5669;4650;4565;85;0;0;6;0;0
"=""101205""";"gm. Kamieńsk";"radomszczański";"Piotrków Trybunalski";5665;4639;4559;80;0;0;10;0;0
"=""101206""";"gm. Kobiele Wielkie";"radomszczański";"Piotrków Trybunalski";4334;3509;3477;32;0;0;10;0;0
"=""101207""";"gm. Kodrąb";"radomszczański";"Piotrków Trybunalski";4376;3593;3539;54;0;0;6;0;0
"=""101208""";"gm. Lgota Wielka";"radomszczański";"Piotrków Trybunalski";4177;3390;3368;22;0;0;9;0;0
"=""101209""";"gm. Ładzice";"radomszczański";"Piotrków Trybunalski";4707;3782;3744;38;0;0;45;0;0
"=""101210""";"gm. Masłowice";"radomszczański";"Piotrków Trybunalski";4083;3296;3214;82;0;0;8;0;0
"=""101211""";"gm. Przedbórz";"radomszczański";"Piotrków Trybunalski";6833;5640;5542;98;0;0;8;0;0
"=""101212""";"gm. Radomsko";"radomszczański";"Piotrków Trybunalski";5359;4408;4386;22;0;0;13;0;0
"=""101213""";"gm. Wielgomłyny";"radomszczański";"Piotrków Trybunalski";4407;3644;3539;105;0;0;9;0;0
"=""101214""";"gm. Żytno";"radomszczański";"Piotrków Trybunalski";4905;4114;4078;36;0;0;17;0;0
"Powiat rawski";"";"";"";46700;37888;37642;246;0;0;58;0;0
"=""101301""";"m. Rawa Mazowiecka";"rawski";"Skierniewice";16185;13208;13100;108;0;0;23;0;0
"=""101302""";"gm. Biała Rawska";"rawski";"Skierniewice";10851;8831;8793;38;0;0;13;0;0
"=""101303""";"gm. Cielądz";"rawski";"Skierniewice";3969;3180;3154;26;0;0;2;0;0
"=""101304""";"gm. Rawa Mazowiecka";"rawski";"Skierniewice";8644;6960;6944;16;0;0;13;0;0
"=""101305""";"gm. Regnów";"rawski";"Skierniewice";1778;1453;1419;34;0;0;0;0;0
"=""101306""";"gm. Sadkowice";"rawski";"Skierniewice";5273;4256;4232;24;0;0;7;0;0
"Powiat sieradzki";"";"";"";112016;91306;90606;700;1;0;485;0;0
"=""101401""";"m. Sieradz";"sieradzki";"Sieradz";38074;31714;31539;175;1;0;162;0;0
"=""101402""";"gm. Błaszki";"sieradzki";"Sieradz";14036;11364;11262;102;0;0;32;0;0
"=""101403""";"gm. Brąszewice";"sieradzki";"Sieradz";4384;3442;3399;43;0;0;20;0;0
"=""101404""";"gm. Brzeźnio";"sieradzki";"Sieradz";6273;5065;5042;23;0;0;18;0;0
"=""101405""";"gm. Burzenin";"sieradzki";"Sieradz";5328;4348;4331;17;0;0;13;0;0
"=""101406""";"gm. Goszczanów";"sieradzki";"Sieradz";5257;4244;4206;38;0;0;13;0;0
"=""101407""";"gm. Klonowa";"sieradzki";"Sieradz";2831;2261;2250;11;0;0;7;0;0
"=""101408""";"gm. Sieradz";"sieradzki";"Sieradz";10750;8504;8446;58;0;0;62;0;0
"=""101409""";"gm. Warta";"sieradzki";"Sieradz";12100;9840;9708;132;0;0;116;0;0
"=""101410""";"gm. Wróblew";"sieradzki";"Sieradz";5989;4870;4845;25;0;0;20;0;0
"=""101411""";"gm. Złoczew";"sieradzki";"Sieradz";6994;5654;5578;76;0;0;22;0;0
"Powiat skierniewicki";"";"";"";37499;29937;29563;374;2;0;51;0;0
"=""101501""";"gm. Bolimów";"skierniewicki";"Skierniewice";3848;3095;3065;30;0;0;1;0;0
"=""101502""";"gm. Głuchów";"skierniewicki";"Skierniewice";5573;4481;4434;47;0;0;15;0;0
"=""101503""";"gm. Godzianów";"skierniewicki";"Skierniewice";2575;2035;2022;13;0;0;7;0;0
"=""101504""";"gm. Kowiesy";"skierniewicki";"Skierniewice";2858;2309;2213;96;0;0;4;0;0
"=""101505""";"gm. Lipce Reymontowskie";"skierniewicki";"Skierniewice";3176;2563;2539;24;2;0;6;0;0
"=""101506""";"gm. Maków";"skierniewicki";"Skierniewice";6032;4806;4746;60;0;0;6;0;0
"=""101507""";"gm. Nowy Kawęczyn";"skierniewicki";"Skierniewice";3344;2710;2646;64;0;0;1;0;0
"=""101508""";"gm. Skierniewice";"skierniewicki";"Skierniewice";7562;5930;5899;31;0;0;8;0;0
"=""101509""";"gm. Słupia";"skierniewicki";"Skierniewice";2531;2008;1999;9;0;0;3;0;0
"Powiat tomaszowski";"";"";"";108581;88865;88082;783;1;0;200;0;0
"=""101601""";"m. Tomaszów Mazowiecki";"tomaszowski";"Skierniewice";54967;45806;45567;239;0;0;104;0;0
"=""101602""";"gm. Będków";"tomaszowski";"Skierniewice";3226;2644;2628;16;0;0;9;0;0
"=""101603""";"gm. Budziszewice";"tomaszowski";"Skierniewice";2128;1690;1644;46;0;0;4;0;0
"=""101604""";"gm. Czerniewice";"tomaszowski";"Skierniewice";4969;3994;3959;35;0;0;8;0;0
"=""101605""";"gm. Inowłódz";"tomaszowski";"Skierniewice";3695;3102;3055;47;1;0;8;0;0
"=""101606""";"gm. Lubochnia";"tomaszowski";"Skierniewice";6965;5498;5373;125;0;0;12;0;0
"=""101607""";"gm. Rokiciny";"tomaszowski";"Skierniewice";5997;4809;4735;74;0;0;11;0;0
"=""101608""";"gm. Rzeczyca";"tomaszowski";"Skierniewice";4581;3748;3688;60;0;0;10;0;0
"=""101609""";"gm. Tomaszów Mazowiecki";"tomaszowski";"Skierniewice";11295;8958;8891;67;0;0;14;0;0
"=""101610""";"gm. Ujazd";"tomaszowski";"Skierniewice";7544;6034;6014;20;0;0;16;0;0
"=""101611""";"gm. Żelechlinek";"tomaszowski";"Skierniewice";3214;2582;2528;54;0;0;4;0;0
"Powiat wieluński";"";"";"";73516;60227;59761;466;6;0;226;0;0
"=""101701""";"gm. Biała";"wieluński";"Sieradz";5370;4322;4297;25;0;0;5;0;0
"=""101702""";"gm. Czarnożyły";"wieluński";"Sieradz";4407;3588;3577;11;0;0;8;0;0
"=""101703""";"gm. Konopnica";"wieluński";"Sieradz";3646;3020;2924;96;0;0;5;0;0
"=""101704""";"gm. Mokrsko";"wieluński";"Sieradz";5233;4243;4215;28;0;0;9;0;0
"=""101705""";"gm. Osjaków";"wieluński";"Sieradz";4708;3748;3692;56;0;0;5;0;0
"=""101706""";"gm. Ostrówek";"wieluński";"Sieradz";4447;3587;3533;54;6;0;90;0;0
"=""101707""";"gm. Pątnów";"wieluński";"Sieradz";6387;5171;5103;68;0;0;11;0;0
"=""101708""";"gm. Skomlin";"wieluński";"Sieradz";3184;2558;2543;15;0;0;6;0;0
"=""101709""";"gm. Wieluń";"wieluński";"Sieradz";29595;24668;24592;76;0;0;75;0;0
"=""101710""";"gm. Wierzchlas";"wieluński";"Sieradz";6539;5322;5285;37;0;0;12;0;0
"Powiat wieruszowski";"";"";"";41185;33350;33149;201;1;0;136;0;0
"=""101801""";"gm. Bolesławiec";"wieruszowski";"Sieradz";3967;3179;3158;21;0;0;70;0;0
"=""101802""";"gm. Czastary";"wieruszowski";"Sieradz";3932;3156;3141;15;0;0;7;0;0
"=""101803""";"gm. Galewice";"wieruszowski";"Sieradz";6066;4882;4846;36;0;0;8;0;0
"=""101804""";"gm. Lututów";"wieruszowski";"Sieradz";4443;3572;3542;30;0;0;14;0;0
"=""101805""";"gm. Łubnice";"wieruszowski";"Sieradz";3954;3263;3258;5;1;0;8;0;0
"=""101806""";"gm. Sokolniki";"wieruszowski";"Sieradz";5077;4063;4043;20;0;0;6;0;0
"=""101807""";"gm. Wieruszów";"wieruszowski";"Sieradz";13746;11235;11161;74;0;0;23;0;0
"Powiat zduńskowolski";"";"";"";62132;50886;50593;293;3;0;231;0;0
"=""101901""";"m. Zduńska Wola";"zduńskowolski";"Sieradz";37549;31217;31084;133;3;0;116;0;0
"=""101902""";"gm. Szadek";"zduńskowolski";"Sieradz";7119;5740;5680;60;0;0;68;0;0
"=""101903""";"gm. Zapolice";"zduńskowolski";"Sieradz";5336;4252;4192;60;0;0;19;0;0
"=""101904""";"gm. Zduńska Wola";"zduńskowolski";"Sieradz";12128;9677;9637;40;0;0;28;0;0
"Powiat zgierski";"";"";"";156671;128358;126551;1807;8;0;298;0;0
"=""102001""";"m. Głowno";"zgierski";"Łódź";13022;10978;10888;90;0;0;24;0;0
"=""102002""";"m. Ozorków";"zgierski";"Łódź";17364;14364;14307;57;0;0;32;0;0
"=""102003""";"m. Zgierz";"zgierski";"Łódź";50135;41812;41561;251;1;0;77;0;0
"=""102004""";"gm. Aleksandrów Łódzki";"zgierski";"Łódź";32141;25436;25036;400;3;0;115;0;0
"=""102005""";"gm. Głowno";"zgierski";"Łódź";4647;3842;3818;24;0;0;6;0;0
"=""102006""";"gm. Ozorków";"zgierski";"Łódź";6932;5652;5532;120;3;0;9;0;0
"=""102007""";"gm. Parzęczew";"zgierski";"Łódź";5142;4166;3985;181;0;0;2;0;0
"=""102008""";"gm. Stryków";"zgierski";"Łódź";12516;10108;9916;192;0;0;19;0;0
"=""102009""";"gm. Zgierz";"zgierski";"Łódź";14772;12000;11508;492;1;0;14;0;0
"Powiat brzeziński";"";"";"";29631;24071;23836;235;0;0;60;0;0
"=""102101""";"m. Brzeziny";"brzeziński";"Łódź";11669;9532;9483;49;0;0;18;0;0
"=""102102""";"gm. Brzeziny";"brzeziński";"Łódź";5758;4618;4535;83;0;0;3;0;0
"=""102103""";"gm. Dmosin";"brzeziński";"Łódź";4355;3588;3527;61;0;0;4;0;0
"=""102104""";"gm. Jeżów";"brzeziński";"Łódź";3250;2638;2613;25;0;0;32;0;0
"=""102105""";"gm. Rogów";"brzeziński";"Łódź";4599;3695;3678;17;0;0;3;0;0
"Miasto na prawach powiatu";"";"";""
"=""106101""";"m. Łódź";"Łódź";"Łódź";584496;492376;487711;4663;22;0;1327;0;0
"Miasto na prawach powiatu";"";"";""
"=""106201""";"m. Piotrków Trybunalski";"Piotrków Trybunalski";"Piotrków Trybunalski";65481;54368;53958;410;1;0;136;0;0
"Miasto na prawach powiatu";"";"";""
"=""106301""";"m. Skierniewice";"Skierniewice";"Skierniewice";44104;35914;35639;275;5;0;47;0;0
"Powiat bocheński";"";"";"";105478;82730;81995;734;1;0;206;0;0
"=""120101""";"m. Bochnia";"bocheński";"Tarnów";27955;22640;22432;207;0;0;88;0;0
"=""120102""";"gm. Bochnia";"bocheński";"Tarnów";20227;15807;15704;103;0;0;30;0;0
"=""120103""";"gm. Drwinia";"bocheński";"Tarnów";6459;5158;5101;57;0;0;9;0;0
"=""120104""";"gm. Lipnica Murowana";"bocheński";"Tarnów";5631;4331;4277;54;0;0;7;0;0
"=""120105""";"gm. Łapanów";"bocheński";"Tarnów";8341;6452;6374;78;0;0;21;0;0
"=""120106""";"gm. Nowy Wiśnicz";"bocheński";"Tarnów";14213;10894;10836;58;0;0;17;0;0
"=""120107""";"gm. Rzezawa";"bocheński";"Tarnów";11363;8905;8837;68;0;0;17;0;0
"=""120108""";"gm. Trzciana";"bocheński";"Tarnów";5755;4356;4273;83;1;0;9;0;0
"=""120109""";"gm. Żegocina";"bocheński";"Tarnów";5534;4187;4161;26;0;0;8;0;0
"Powiat brzeski";"";"";"";91607;72930;72566;364;2;0;245;0;0
"=""120201""";"gm. Borzęcin";"brzeski";"Tarnów";8140;6599;6575;24;1;0;22;0;0
"=""120202""";"gm. Brzesko";"brzeski";"Tarnów";35192;28460;28351;109;1;0;106;0;0
"=""120203""";"gm. Czchów";"brzeski";"Tarnów";9790;7567;7508;59;0;0;23;0;0
"=""120204""";"gm. Dębno";"brzeski";"Tarnów";14637;11613;11542;71;0;0;38;0;0
"=""120205""";"gm. Gnojnik";"brzeski";"Tarnów";8014;6161;6109;52;0;0;20;0;0
"=""120206""";"gm. Iwkowa";"brzeski";"Tarnów";6653;5033;5010;23;0;0;17;0;0
"=""120207""";"gm. Szczurowa";"brzeski";"Tarnów";9181;7497;7471;26;0;0;19;0;0
"Powiat chrzanowski";"";"";"";114496;95258;94503;755;1;0;294;0;0
"=""120301""";"gm. Alwernia";"chrzanowski";"Kraków";12165;9974;9883;91;0;0;32;0;0
"=""120302""";"gm. Babice";"chrzanowski";"Kraków";8836;7265;7212;53;1;0;16;0;0
"=""120303""";"gm. Chrzanów";"chrzanowski";"Kraków";41546;35070;34752;318;0;0;115;0;0
"=""120304""";"gm. Libiąż";"chrzanowski";"Kraków";20868;17125;17043;82;0;0;55;0;0
"=""120305""";"gm. Trzebinia";"chrzanowski";"Kraków";31081;25824;25613;211;0;0;76;0;0
"Powiat dąbrowski";"";"";"";57580;46871;46611;260;0;0;134;0;0
"=""120401""";"gm. Bolesław";"dąbrowski";"Tarnów";2588;2212;2198;14;0;0;2;0;0
"=""120402""";"gm. Dąbrowa Tarnowska";"dąbrowski";"Tarnów";20587;16681;16592;89;0;0;46;0;0
"=""120403""";"gm. Gręboszów";"dąbrowski";"Tarnów";3166;2712;2683;29;0;0;9;0;0
"=""120404""";"gm. Mędrzechów";"dąbrowski";"Tarnów";3306;2736;2703;33;0;0;8;0;0
"=""120405""";"gm. Olesno";"dąbrowski";"Tarnów";7780;6258;6248;10;0;0;18;0;0
"=""120406""";"gm. Radgoszcz";"dąbrowski";"Tarnów";7465;5947;5922;25;0;0;24;0;0
"=""120407""";"gm. Szczucin";"dąbrowski";"Tarnów";12688;10325;10265;60;0;0;27;0;0
"Powiat gorlicki";"";"";"";106576;85234;84783;451;1;0;320;0;0
"=""120501""";"m. Gorlice";"gorlicki";"Nowy Sącz";25175;21016;20880;136;0;0;82;0;0
"=""120502""";"gm. Biecz";"gorlicki";"Nowy Sącz";16493;13352;13333;19;0;0;50;0;0
"=""120503""";"gm. Bobowa";"gorlicki";"Nowy Sącz";9858;7463;7443;20;0;0;31;0;0
"=""120504""";"gm. Gorlice";"gorlicki";"Nowy Sącz";17128;13754;13728;26;0;0;42;0;0
"=""120505""";"gm. Lipinki";"gorlicki";"Nowy Sącz";6792;5438;5418;20;0;0;19;0;0
"=""120506""";"gm. Łużna";"gorlicki";"Nowy Sącz";8547;6683;6659;24;0;0;18;0;0
"=""120507""";"gm. Moszczenica";"gorlicki";"Nowy Sącz";5085;3935;3887;48;0;0;11;0;0
"=""120508""";"gm. Ropa";"gorlicki";"Nowy Sącz";5544;4228;4195;33;0;0;41;0;0
"=""120509""";"gm. Sękowa";"gorlicki";"Nowy Sącz";5037;4021;3986;35;1;0;5;0;0
"=""120510""";"gm. Uście Gorlickie";"gorlicki";"Nowy Sącz";6917;5344;5254;90;0;0;21;0;0
"Powiat krakowski";"";"";"";280639;221945;217579;4366;19;0;784;0;0
"=""120601""";"gm. Czernichów";"krakowski";"Kraków";14655;11701;11491;210;1;0;31;0;0
"=""120602""";"gm. Igołomia-Wawrzeńczyce";"krakowski";"Kraków";7603;6157;6064;93;0;0;16;0;0
"=""120603""";"gm. Iwanowice";"krakowski";"Kraków";9277;7361;7202;159;0;0;18;0;0
"=""120604""";"gm. Jerzmanowice-Przeginia";"krakowski";"Kraków";10959;8790;8670;120;0;0;29;0;0
"=""120605""";"gm. Kocmyrzów-Luborzyca";"krakowski";"Kraków";16129;12744;12522;222;1;0;93;0;0
"=""120606""";"gm. Krzeszowice";"krakowski";"Kraków";30974;25242;24980;262;2;0;89;0;0
"=""120607""";"gm. Liszki";"krakowski";"Kraków";17428;13663;13378;285;1;0;51;0;0
"=""120608""";"gm. Michałowice";"krakowski";"Kraków";11266;8720;8444;276;0;0;20;0;0
"=""120609""";"gm. Mogilany";"krakowski";"Kraków";14633;11333;11007;326;3;0;25;0;0
"=""120610""";"gm. Skała";"krakowski";"Kraków";10548;8409;8212;197;1;0;46;0;0
"=""120611""";"gm. Skawina";"krakowski";"Kraków";42122;33813;33530;283;0;0;106;0;0
"=""120612""";"gm. Słomniki";"krakowski";"Kraków";13176;10654;10527;127;0;0;31;0;0
"=""120613""";"gm. Sułoszowa";"krakowski";"Kraków";5704;4568;4518;50;0;0;10;0;0
"=""120614""";"gm. Świątniki Górne";"krakowski";"Kraków";10420;8225;8047;178;0;0;14;0;0
"=""120615""";"gm. Wielka Wieś";"krakowski";"Kraków";14534;10996;10620;376;4;0;17;0;0
"=""120616""";"gm. Zabierzów";"krakowski";"Kraków";27087;21437;20720;717;1;0;124;0;0
"=""120617""";"gm. Zielonki";"krakowski";"Kraków";24124;18132;17647;485;5;0;64;0;0
