KOD TERYTORIALNY;Gmina;Powiat;Delegatura;Liczba mieszkańców;Liczba wyborców ogółem;Liczba wyborców wpisanych z urzędu;Liczba wyborców ujętych w stałym obwodzie w CRW na wniosek
281403;gm. Dobre Miasto;olsztyński;Olsztyn;15438;12535;12490;45
281404;gm. Dywity;olsztyński;Olsztyn;11746;9299;9099;200
281405;gm. Gietrzwałd;olsztyński;Olsztyn;6572;5175;4984;191
281406;gm. Jeziorany;olsztyński;Olsztyn;7533;6085;6042;43
281407;gm. Jonkowo;olsztyński;Olsztyn;7362;5837;5734;103
281408;gm. Kolno;olsztyński;Olsztyn;3197;2619;2599;20
281409;gm. Olsztynek;olsztyński;Olsztyn;13360;10796;10709;87
281410;gm. Purda;olsztyński;Olsztyn;8563;6855;6675;180
281411;gm. Stawiguda;olsztyński;Olsztyn;10516;7924;7754;170
281412;gm. Świątki;olsztyński;Olsztyn;4017;3171;3135;36
Powiat ostródzki;;;;101559;82001;81129;872
281501;m. Ostróda;ostródzki;Elbląg;31426;25887;25721;166
281502;gm. Dąbrówno;ostródzki;Elbląg;4190;3326;3269;57
281503;gm. Grunwald;ostródzki;Elbląg;5527;4323;4261;62
281504;gm. Łukta;ostródzki;Elbląg;4499;3595;3473;122
281505;gm. Małdyty;ostródzki;Elbląg;6148;4977;4904;73
281506;gm. Miłakowo;ostródzki;Elbląg;5381;4340;4302;38
281507;gm. Miłomłyn;ostródzki;Elbląg;4940;4004;3933;71
281508;gm. Morąg;ostródzki;Elbląg;23639;19066;18866;200
281509;gm. Ostróda;ostródzki;Elbląg;15809;12483;12400;83
Powiat piski;;;;54995;44598;44349;249
281601;gm. Biała Piska;piski;Olsztyn;11609;9226;9206;20
281602;gm. Orzysz;piski;Olsztyn;8809;7150;7113;37
281603;gm. Pisz;piski;Olsztyn;26777;21664;21557;107
281604;gm. Ruciane-Nida;piski;Olsztyn;7800;6558;6473;85
Powiat szczycieński;;;;68862;55784;55229;555
281701;m. Szczytno;szczycieński;Olsztyn;22264;18597;18493;104
281702;gm. Dźwierzuty;szczycieński;Olsztyn;6573;5386;5295;91
281703;gm. Jedwabno;szczycieński;Olsztyn;3720;3046;2975;71
281704;gm. Pasym;szczycieński;Olsztyn;5225;4316;4237;79
281705;gm. Rozogi;szczycieński;Olsztyn;5682;4517;4487;30
281706;gm. Szczytno;szczycieński;Olsztyn;12927;10005;9907;98
281707;gm. Świętajno;szczycieński;Olsztyn;5851;4773;4720;53
281708;gm. Wielbark;szczycieński;Olsztyn;6620;5144;5115;29
Powiat gołdapski;;;;26126;20847;20725;122
281801;gm. Banie Mazurskie;gołdapski;Olsztyn;3725;3107;3071;36
281802;gm. Dubeninki;gołdapski;Olsztyn;2962;2366;2348;18
281803;gm. Gołdap;gołdapski;Olsztyn;19439;15374;15306;68
Powiat węgorzewski;;;;22188;18135;17998;137
281901;gm. Budry;węgorzewski;Olsztyn;2920;2375;2358;17
281902;gm. Pozezdrze;węgorzewski;Olsztyn;3261;2671;2622;49
281903;gm. Węgorzewo;węgorzewski;Olsztyn;16007;13089;13018;71
Miasto na prawach powiatu;;;;;;;
286101;m. Elbląg;Elbląg;Elbląg;110327;91547;91180;367
Miasto na prawach powiatu;;;;;;;
286201;m. Olsztyn;Olsztyn;Olsztyn;157946;129340;128080;1260
Powiat chodzieski;;;;45882;36843;36597;246
300101;m. Chodzież;chodzieski;Piła;17807;14730;14637;93
300102;gm. Budzyń;chodzieski;Piła;8367;6568;6537;31
300103;gm. Chodzież;chodzieski;Piła;5943;4653;4617;36
300104;gm. Margonin;chodzieski;Piła;6362;5008;4954;54
300105;gm. Szamocin;chodzieski;Piła;7403;5884;5852;32
Powiat czarnkowsko-trzcianecki;;;;85435;68209;67768;441
300201;m. Czarnków;czarnkowsko-trzcianecki;Piła;10483;8633;8558;75
300202;gm. Czarnków;czarnkowsko-trzcianecki;Piła;11253;8929;8849;80
300203;gm. Drawsko;czarnkowsko-trzcianecki;Piła;5842;4672;4649;23
300204;gm. Krzyż Wielkopolski;czarnkowsko-trzcianecki;Piła;8531;6913;6855;58
300205;gm. Lubasz;czarnkowsko-trzcianecki;Piła;7630;5942;5876;66
300206;gm. Połajewo;czarnkowsko-trzcianecki;Piła;6204;4857;4840;17
300207;gm. Trzcianka;czarnkowsko-trzcianecki;Piła;23365;18626;18544;82
300208;gm. Wieleń;czarnkowsko-trzcianecki;Piła;12127;9637;9597;40
Powiat gnieźnieński;;;;140813;112103;111266;837
300301;m. Gniezno;gnieźnieński;Konin;64986;52958;52683;275
300302;gm. Czerniejewo;gnieźnieński;Konin;7200;5622;5560;62
300303;gm. Gniezno;gnieźnieński;Konin;12135;9101;8913;188
300304;gm. Kiszkowo;gnieźnieński;Konin;5338;4218;4190;28
300305;gm. Kłecko;gnieźnieński;Konin;7451;5865;5836;29
300306;gm. Łubowo;gnieźnieński;Konin;6489;4997;4924;73
300307;gm. Mieleszyn;gnieźnieński;Konin;4002;3072;3039;33
300308;gm. Niechanowo;gnieźnieński;Konin;5967;4588;4559;29
300309;gm. Trzemeszno;gnieźnieński;Konin;13921;11010;10953;57
300310;gm. Witkowo;gnieźnieński;Konin;13324;10672;10609;63
Powiat gostyński;;;;75173;59780;59599;181
300401;gm. Borek Wielkopolski;gostyński;Leszno;7424;5927;5900;27
300402;gm. Gostyń;gostyński;Leszno;27556;22069;22023;46
300403;gm. Krobia;gostyński;Leszno;12899;10210;10196;14
300404;gm. Pępowo;gostyński;Leszno;5960;4718;4690;28
300405;gm. Piaski;gostyński;Leszno;8557;6751;6706;45
300406;gm. Pogorzela;gostyński;Leszno;4988;3961;3956;5
300407;gm. Poniec;gostyński;Leszno;7789;6144;6128;16
Powiat grodziski;;;;51086;39818;39654;164
300501;gm. Granowo;grodziski;Poznań;5058;3916;3887;29
300502;gm. Grodzisk Wielkopolski;grodziski;Poznań;19350;15244;15184;60
300503;gm. Kamieniec;grodziski;Poznań;6625;5150;5138;12
300504;gm. Rakoniewice;grodziski;Poznań;13082;10080;10032;48
300505;gm. Wielichowo;grodziski;Poznań;6971;5428;5413;15
Powiat jarociński;;;;70596;56140;55986;154
300601;gm. Jaraczewo;jarociński;Kalisz;8082;6379;6361;18
300602;gm. Jarocin;jarociński;Kalisz;44887;35873;35798;75
300603;gm. Kotlin;jarociński;Kalisz;7340;5644;5638;6
300604;gm. Żerków;jarociński;Kalisz;10287;8244;8189;55
Powiat kaliski;;;;83135;66785;66423;362
300701;gm. Blizanów;kaliski;Kalisz;10054;8023;7978;45
300702;gm. Brzeziny;kaliski;Kalisz;5826;4663;4629;34
300703;gm. Ceków-Kolonia;kaliski;Kalisz;4788;3843;3818;25
300704;gm. Godziesze Wielkie;kaliski;Kalisz;9610;7571;7522;49
300705;gm. Koźminek;kaliski;Kalisz;7558;6084;6066;18
300706;gm. Lisków;kaliski;Kalisz;5222;4244;4231;13
300707;gm. Mycielin;kaliski;Kalisz;4876;3953;3919;34
300708;gm. Opatówek;kaliski;Kalisz;10665;8685;8653;32
300709;gm. Stawiszyn;kaliski;Kalisz;7158;5800;5769;31
300710;gm. Szczytniki;kaliski;Kalisz;7833;6279;6241;38
300711;gm. Żelazków;kaliski;Kalisz;9545;7640;7597;43
Powiat kępiński;;;;55661;44537;44266;271
300801;gm. Baranów;kępiński;Kalisz;8001;6304;6274;30
300802;gm. Bralin;kępiński;Kalisz;6071;4766;4727;39
300803;gm. Kępno;kępiński;Kalisz;23787;19235;19121;114
300804;gm. Łęka Opatowska;kępiński;Kalisz;5329;4176;4152;24
300805;gm. Perzów;kępiński;Kalisz;3766;3029;3007;22
300806;gm. Rychtal;kępiński;Kalisz;3802;3093;3066;27
300807;gm. Trzcinica;kępiński;Kalisz;4905;3934;3919;15
Powiat kolski;;;;86071;70050;69671;379
300901;m. Koło;kolski;Konin;21112;17477;17389;88
300902;gm. Babiak;kolski;Konin;7865;6406;6356;50
300903;gm. Chodów;kolski;Konin;3101;2614;2608;6
300904;gm. Dąbie;kolski;Konin;6306;5183;5160;23
300905;gm. Grzegorzew;kolski;Konin;5694;4573;4532;41
300906;gm. Kłodawa;kolski;Konin;12636;10403;10362;41
300907;gm. Koło;kolski;Konin;7766;6176;6140;36
300908;gm. Kościelec;kolski;Konin;6759;5389;5348;41
300909;gm. Olszówka;kolski;Konin;4530;3665;3657;8
300910;gm. Osiek Mały;kolski;Konin;6154;4820;4806;14
300911;gm. Przedecz;kolski;Konin;4148;3344;3313;31
Powiat koniński;;;;129370;103521;102743;778
301001;gm. Golina;koniński;Konin;11997;9725;9642;83
301002;gm. Grodziec;koniński;Konin;5235;4128;4100;28
301003;gm. Kazimierz Biskupi;koniński;Konin;11391;9161;9105;56
301004;gm. Kleczew;koniński;Konin;9801;7989;7934;55
301005;gm. Kramsk;koniński;Konin;11194;8940;8885;55
301006;gm. Krzymów;koniński;Konin;7997;6313;6265;48
301007;gm. Rychwał;koniński;Konin;8229;6613;6541;72
301008;gm. Rzgów;koniński;Konin;7226;5800;5775;25
301009;gm. Skulsk;koniński;Konin;6130;4936;4858;78
301010;gm. Sompolno;koniński;Konin;10477;8373;8350;23
301011;gm. Stare Miasto;koniński;Konin;12260;9525;9455;70
301012;gm. Ślesin;koniński;Konin;14010;11385;11303;82
301013;gm. Wierzbinek;koniński;Konin;7243;5730;5678;52
301014;gm. Wilczyn;koniński;Konin;6180;4903;4852;51
Powiat kościański;;;;77065;62046;61726;320
301101;m. Kościan;kościański;Leszno;22650;18779;18637;142
301102;gm. Czempiń;kościański;Leszno;11249;9059;8998;61
301103;gm. Kościan;kościański;Leszno;15924;12625;12594;31
301104;gm. Krzywiń;kościański;Leszno;9878;7851;7795;56
301105;gm. Śmigiel;kościański;Leszno;17364;13732;13702;30
Powiat krotoszyński;;;;75949;60689;60505;184
301201;m. Sulmierzyce;krotoszyński;Kalisz;2839;2242;2225;17
301202;gm. Kobylin;krotoszyński;Kalisz;8046;6375;6346;29
301203;gm. Koźmin Wielkopolski;krotoszyński;Kalisz;13229;10572;10559;13
301204;gm. Krotoszyn;krotoszyński;Kalisz;39179;31653;31574;79
301205;gm. Rozdrażew;krotoszyński;Kalisz;5207;4058;4049;9
301206;gm. Zduny;krotoszyński;Kalisz;7449;5789;5752;37
Powiat leszczyński;;;;56530;43976;43593;383
301301;gm. Krzemieniewo;leszczyński;Leszno;8317;6581;6553;28
301302;gm. Lipno;leszczyński;Leszno;8218;6302;6146;156
301303;gm. Osieczna;leszczyński;Leszno;9117;7195;7147;48
301304;gm. Rydzyna;leszczyński;Leszno;9497;7392;7317;75
301305;gm. Święciechowa;leszczyński;Leszno;7991;6200;6189;11
301306;gm. Wijewo;leszczyński;Leszno;3806;2928;2894;34
301307;gm. Włoszakowice;leszczyński;Leszno;9584;7378;7347;31
Powiat międzychodzki;;;;36144;28915;28518;397
301401;gm. Chrzypsko Wielkie;międzychodzki;Poznań;3306;2632;2533;99
301402;gm. Kwilcz;międzychodzki;Poznań;6357;5005;4867;138
301403;gm. Międzychód;międzychodzki;Poznań;17841;14417;14318;99
301404;gm. Sieraków;międzychodzki;Poznań;8640;6861;6800;61
Powiat nowotomyski;;;;74108;58191;57841;350
301501;gm. Kuślin;nowotomyski;Poznań;5446;4276;4239;37
301502;gm. Lwówek;nowotomyski;Poznań;9010;7116;7046;70
301503;gm. Miedzichowo;nowotomyski;Poznań;3739;2965;2932;33
301504;gm. Nowy Tomyśl;nowotomyski;Poznań;26223;20526;20387;139
301505;gm. Opalenica;nowotomyski;Poznań;16118;12592;12556;36
301506;gm. Zbąszyń;nowotomyski;Poznań;13572;10716;10681;35
Powiat obornicki;;;;57279;45195;44817;378
301601;gm. Oborniki;obornicki;Poznań;32713;25833;25621;212
301602;gm. Rogoźno;obornicki;Poznań;17402;13732;13603;129
301603;gm. Ryczywół;obornicki;Poznań;7164;5630;5593;37
Powiat ostrowski;;;;158181;127758;127369;389
301701;m. Ostrów Wielkopolski;ostrowski;Kalisz;69028;57097;56924;173
301702;gm. Nowe Skalmierzyce;ostrowski;Kalisz;15450;12278;12255;23
301703;gm. Odolanów;ostrowski;Kalisz;14734;11616;11572;44
301704;gm. Ostrów Wielkopolski;ostrowski;Kalisz;18920;15019;14991;28
301705;gm. Przygodzice;ostrowski;Kalisz;12077;9626;9595;31
301706;gm. Raszków;ostrowski;Kalisz;11735;9261;9247;14
301707;gm. Sieroszewice;ostrowski;Kalisz;9677;7634;7616;18
301708;gm. Sośnie;ostrowski;Kalisz;6560;5227;5169;58
Powiat ostrzeszowski;;;;55040;44000;43654;346
301801;gm. Czajków;ostrzeszowski;Kalisz;2531;2054;2034;20
301802;gm. Doruchów;ostrzeszowski;Kalisz;5404;4240;4220;20
301803;gm. Grabów nad Prosną;ostrzeszowski;Kalisz;7823;6287;6234;53
301804;gm. Kobyla Góra;ostrzeszowski;Kalisz;6069;4792;4743;49
301805;gm. Kraszewice;ostrzeszowski;Kalisz;3606;2851;2834;17
301806;gm. Mikstat;ostrzeszowski;Kalisz;6063;4865;4831;34
301807;gm. Ostrzeszów;ostrzeszowski;Kalisz;23544;18911;18758;153
Powiat pilski;;;;130700;105386;104526;860
301901;m. Piła;pilski;Piła;68533;56221;55697;524
301902;gm. Białośliwie;pilski;Piła;4706;3745;3711;34
301903;gm. Kaczory;pilski;Piła;7785;6114;6051;63
301904;gm. Łobżenica;pilski;Piła;9451;7424;7394;30
301905;gm. Miasteczko Krajeńskie;pilski;Piła;3190;2517;2482;35
301906;gm. Szydłowo;pilski;Piła;8943;6991;6917;74
301907;gm. Ujście;pilski;Piła;7791;6308;6263;45
301908;gm. Wyrzysk;pilski;Piła;13784;10929;10904;25
301909;gm. Wysoka;pilski;Piła;6517;5137;5107;30
Powiat pleszewski;;;;61614;49453;48854;599
302001;gm. Chocz;pleszewski;Kalisz;4753;3861;3828;33
302002;gm. Czermin;pleszewski;Kalisz;4923;3830;3790;40
302003;gm. Dobrzyca;pleszewski;Kalisz;8121;6382;6374;8
302004;gm. Gizałki;pleszewski;Kalisz;4590;3639;3557;82
302005;gm. Gołuchów;pleszewski;Kalisz;10719;8446;8414;32
302006;gm. Pleszew;pleszewski;Kalisz;28508;23295;22891;404
Powiat poznański;;;;381353;293331;288129;5202
302101;m. Luboń;poznański;Poznań;30039;23691;23476;215
302102;m. Puszczykowo;poznański;Poznań;9304;7806;7523;283
302103;gm. Buk;poznański;Poznań;12293;9716;9651;65
302104;gm. Czerwonak;poznański;Poznań;26200;20716;20440;276
302105;gm. Dopiewo;poznański;Poznań;26567;19555;18876;679
302106;gm. Kleszczewo;poznański;Poznań;8434;6226;6105;121
302107;gm. Komorniki;poznański;Poznań;28902;20877;20437;440
302108;gm. Kostrzyn;poznański;Poznań;18040;14213;14078;135
302109;gm. Kórnik;poznański;Poznań;27948;21000;20611;389
302110;gm. Mosina;poznański;Poznań;32064;24866;24583;283
302111;gm. Murowana Goślina;poznański;Poznań;16429;13105;12884;221
302112;gm. Pobiedziska;poznański;Poznań;19234;15196;14819;377
302113;gm. Rokietnica;poznański;Poznań;17572;13237;12845;392
302114;gm. Stęszew;poznański;Poznań;14894;11908;11810;98
302115;gm. Suchy Las;poznański;Poznań;17250;13053;12796;257
302116;gm. Swarzędz;poznański;Poznań;48627;37551;37087;464
302117;gm. Tarnowo Podgórne;poznański;Poznań;27556;20615;20108;507
Powiat rawicki;;;;59448;46997;46806;191
302201;gm. Bojanowo;rawicki;Leszno;8699;6829;6819;10
302202;gm. Jutrosin;rawicki;Leszno;7135;5521;5511;10
302203;gm. Miejska Górka;rawicki;Leszno;9269;7322;7288;34
302204;gm. Pakosław;rawicki;Leszno;4878;3720;3698;22
302205;gm. Rawicz;rawicki;Leszno;29467;23605;23490;115
Powiat słupecki;;;;58900;47620;47223;397
302301;m. Słupca;słupecki;Konin;13242;10868;10824;44
302302;gm. Lądek;słupecki;Konin;5785;4675;4612;63
302303;gm. Orchowo;słupecki;Konin;3855;3048;3025;23
302304;gm. Ostrowite;słupecki;Konin;5163;4219;4190;29
302305;gm. Powidz;słupecki;Konin;2282;1871;1795;76
302306;gm. Słupca;słupecki;Konin;9612;7661;7624;37
302307;gm. Strzałkowo;słupecki;Konin;10091;8047;8012;35
302308;gm. Zagórów;słupecki;Konin;8870;7231;7141;90
Powiat szamotulski;;;;88843;70687;70007;680
302401;m. Obrzycko;szamotulski;Poznań;2406;1887;1852;35
302402;gm. Duszniki;szamotulski;Poznań;9022;7116;7008;108
302403;gm. Kaźmierz;szamotulski;Poznań;8451;6563;6513;50
302404;gm. Obrzycko;szamotulski;Poznań;4425;3476;3414;62
302405;gm. Ostroróg;szamotulski;Poznań;4868;3877;3826;51
302406;gm. Pniewy;szamotulski;Poznań;12280;9751;9638;113
302407;gm. Szamotuły;szamotulski;Poznań;28974;23232;23091;141
302408;gm. Wronki;szamotulski;Poznań;18417;14785;14665;120
Powiat średzki;;;;57310;45208;44873;335
302501;gm. Dominowo;średzki;Konin;3046;2368;2350;18
302502;gm. Krzykosy;średzki;Konin;7012;5465;5448;17
302503;gm. Nowe Miasto nad Wartą;średzki;Konin;9001;7131;7107;24
302504;gm. Środa Wielkopolska;średzki;Konin;31531;24904;24708;196
302505;gm. Zaniemyśl;średzki;Konin;6720;5340;5260;80
Powiat śremski;;;;59486;47183;46853;330
302601;gm. Brodnica;śremski;Konin;4812;3785;3732;53
302602;gm. Dolsk;śremski;Konin;5827;4596;4558;38
302603;gm. Książ Wielkopolski;śremski;Konin;8397;6579;6565;14
302604;gm. Śrem;śremski;Konin;40450;32223;31998;225
Powiat turecki;;;;83244;67001;66559;442
302701;m. Turek;turecki;Konin;26142;21894;21808;86
302702;gm. Brudzew;turecki;Konin;5982;4779;4751;28
302703;gm. Dobra;turecki;Konin;6087;4851;4815;36
302704;gm. Kawęczyn;turecki;Konin;5360;4280;4254;26
302705;gm. Malanów;turecki;Konin;6606;5244;5209;35
302706;gm. Przykona;turecki;Konin;4595;3625;3585;40
302707;gm. Tuliszków;turecki;Konin;10549;8329;8234;95
302708;gm. Turek;turecki;Konin;9834;7608;7564;44
302709;gm. Władysławów;turecki;Konin;8089;6391;6339;52
Powiat wągrowiecki;;;;68485;54206;53859;347
302801;m. Wągrowiec;wągrowiecki;Piła;24461;19907;19762;145
302802;gm. Damasławek;wągrowiecki;Piła;5390;4250;4224;26
302803;gm. Gołańcz;wągrowiecki;Piła;8176;6349;6319;30
302804;gm. Mieścisko;wągrowiecki;Piła;5951;4697;4670;27
302805;gm. Skoki;wągrowiecki;Piła;9390;7316;7251;65
302806;gm. Wapno;wągrowiecki;Piła;2972;2369;2351;18
302807;gm. Wągrowiec;wągrowiecki;Piła;12145;9318;9282;36
Powiat wolsztyński;;;;56454;44293;44041;252
302901;gm. Przemęt;wolsztyński;Poznań;14160;11026;10975;51
302902;gm. Siedlec;wolsztyński;Poznań;12592;9714;9674;40
302903;gm. Wolsztyn;wolsztyński;Poznań;29702;23553;23392;161
Powiat wrzesiński;;;;75285;60044;59799;245
303001;gm. Kołaczkowo;wrzesiński;Konin;5957;4665;4651;14
303002;gm. Miłosław;wrzesiński;Konin;10139;8117;8064;53
