KOD TERYTORIALNY;Gmina;Powiat;Delegatura;Liczba mieszkańców;Liczba wyborców ogółem;Liczba wyborców wpisanych z urzędu;Liczba wyborców ujętych w stałym obwodzie w CRW na wniosek
320103;gm. Karlino;białogardzki;Koszalin;8753;6996;6953;43
320104;gm. Tychowo;białogardzki;Koszalin;6611;5291;5219;72
Powiat choszczeński;;;;46706;38162;37877;285
320201;gm. Bierzwnik;choszczeński;Koszalin;4721;3820;3775;45
320202;gm. Choszczno;choszczeński;Koszalin;20502;16839;16724;115
320203;gm. Drawno;choszczeński;Koszalin;4971;4155;4099;56
320204;gm. Krzęcin;choszczeński;Koszalin;3593;2925;2900;25
320205;gm. Pełczyce;choszczeński;Koszalin;7632;6111;6099;12
320206;gm. Recz;choszczeński;Koszalin;5287;4312;4280;32
Powiat drawski;;;;55914;45398;44933;465
320301;gm. Czaplinek;drawski;Koszalin;11552;9407;9308;99
320302;gm. Drawsko Pomorskie;drawski;Koszalin;16995;13853;13717;136
320303;gm. Kalisz Pomorski;drawski;Koszalin;7055;5623;5552;71
320305;gm. Wierzchowo;drawski;Koszalin;4299;3483;3457;26
320306;gm. Złocieniec;drawski;Koszalin;16013;13032;12899;133
Powiat goleniowski;;;;78373;63269;62537;732
320402;gm. Goleniów;goleniowski;Szczecin;34062;27421;27230;191
320403;gm. Maszewo;goleniowski;Szczecin;8526;6765;6598;167
320404;gm. Nowogard;goleniowski;Szczecin;23258;18969;18741;228
320405;gm. Osina;goleniowski;Szczecin;2941;2360;2311;49
320406;gm. Przybiernów;goleniowski;Szczecin;4893;3977;3944;33
320407;gm. Stepnica;goleniowski;Szczecin;4693;3777;3713;64
Powiat gryficki;;;;58109;47415;46623;792
320501;gm. Brojce;gryficki;Szczecin;3741;2921;2893;28
320502;gm. Gryfice;gryficki;Szczecin;22590;18494;18262;232
320503;gm. Karnice;gryficki;Szczecin;3988;3276;3166;110
320504;gm. Płoty;gryficki;Szczecin;8714;7020;6939;81
320507;gm. Rewal;gryficki;Szczecin;3660;3211;2979;232
320508;gm. Trzebiatów;gryficki;Szczecin;15416;12493;12384;109
Powiat gryfiński;;;;79256;64472;63810;662
320601;gm. Banie;gryfiński;Szczecin;6167;5023;4996;27
320602;gm. Cedynia;gryfiński;Szczecin;4242;3454;3346;108
320603;gm. Chojna;gryfiński;Szczecin;13315;10822;10725;97
320604;gm. Gryfino;gryfiński;Szczecin;29998;24474;24340;134
320605;gm. Mieszkowice;gryfiński;Szczecin;6963;5575;5560;15
320606;gm. Moryń;gryfiński;Szczecin;4249;3421;3369;52
320607;gm. Stare Czarnowo;gryfiński;Szczecin;3737;3071;2966;105
320608;gm. Trzcińsko-Zdrój;gryfiński;Szczecin;5320;4353;4267;86
320609;gm. Widuchowa;gryfiński;Szczecin;5265;4279;4241;38
Powiat kamieński;;;;45119;37568;36879;689
320701;gm. Dziwnów;kamieński;Szczecin;3768;3217;3106;111
320702;gm. Golczewo;kamieński;Szczecin;5692;4756;4682;74
320703;gm. Kamień Pomorski;kamieński;Szczecin;13619;11455;11329;126
320704;gm. Międzyzdroje;kamieński;Szczecin;6110;5116;4973;143
320705;gm. Świerzno;kamieński;Szczecin;4116;3339;3294;45
320706;gm. Wolin;kamieński;Szczecin;11814;9685;9495;190
Powiat kołobrzeski;;;;74762;62079;60932;1147
320801;m. Kołobrzeg;kołobrzeski;Koszalin;41908;35657;35141;516
320802;gm. Dygowo;kołobrzeski;Koszalin;5438;4377;4321;56
320803;gm. Gościno;kołobrzeski;Koszalin;5242;4159;4096;63
320804;gm. Kołobrzeg;kołobrzeski;Koszalin;10742;8672;8391;281
320805;gm. Rymań;kołobrzeski;Koszalin;3938;3206;3169;37
320806;gm. Siemyśl;kołobrzeski;Koszalin;3763;2958;2935;23
320807;gm. Ustronie Morskie;kołobrzeski;Koszalin;3731;3050;2879;171
Powiat koszaliński;;;;64554;52147;51052;1095
320901;gm. Będzino;koszaliński;Koszalin;8358;6769;6718;51
320902;gm. Biesiekierz;koszaliński;Koszalin;6876;5408;5292;116
320903;gm. Bobolice;koszaliński;Koszalin;8725;7078;7006;72
320904;gm. Manowo;koszaliński;Koszalin;6481;5225;5091;134
320905;gm. Mielno;koszaliński;Koszalin;4771;4017;3843;174
320906;gm. Polanów;koszaliński;Koszalin;8454;6797;6709;88
320907;gm. Sianów;koszaliński;Koszalin;13570;10973;10749;224
320908;gm. Świeszyno;koszaliński;Koszalin;7319;5880;5644;236
Powiat myśliborski;;;;63191;51517;51184;333
321001;gm. Barlinek;myśliborski;Szczecin;18334;14947;14897;50
321002;gm. Boleszkowice;myśliborski;Szczecin;2827;2267;2247;20
321003;gm. Dębno;myśliborski;Szczecin;19562;15835;15706;129
321004;gm. Myślibórz;myśliborski;Szczecin;19055;15795;15734;61
321005;gm. Nowogródek Pomorski;myśliborski;Szczecin;3413;2673;2600;73
Powiat policki;;;;73583;58718;57681;1037
321101;gm. Dobra (Szczecińska);policki;Szczecin;22218;17052;16596;456
321102;gm. Kołbaskowo;policki;Szczecin;12149;9394;9183;211
321103;gm. Nowe Warpno;policki;Szczecin;1563;1327;1256;71
321104;gm. Police;policki;Szczecin;37653;30945;30646;299
Powiat pyrzycki;;;;38042;31073;30779;294
321201;gm. Bielice;pyrzycki;Szczecin;3058;2439;2386;53
321202;gm. Kozielice;pyrzycki;Szczecin;2567;2048;2035;13
321203;gm. Lipiany;pyrzycki;Szczecin;5776;4714;4678;36
321204;gm. Przelewice;pyrzycki;Szczecin;5031;4075;4043;32
321205;gm. Pyrzyce;pyrzycki;Szczecin;18229;15032;14904;128
321206;gm. Warnice;pyrzycki;Szczecin;3381;2765;2733;32
Powiat sławieński;;;;54240;44137;43613;524
321301;m. Darłowo;sławieński;Koszalin;12780;10769;10670;99
321302;m. Sławno;sławieński;Koszalin;11782;9692;9592;100
321303;gm. Darłowo;sławieński;Koszalin;7839;6327;6241;86
321304;gm. Malechowo;sławieński;Koszalin;6299;5081;4972;109
321305;gm. Postomino;sławieński;Koszalin;6915;5453;5358;95
321306;gm. Sławno;sławieński;Koszalin;8625;6815;6780;35
Powiat stargardzki;;;;113414;92671;91669;1002
321401;m. Stargard;stargardzki;Szczecin;62213;51586;51356;230
321402;gm. Chociwel;stargardzki;Szczecin;5776;4685;4597;88
321403;gm. Dobrzany;stargardzki;Szczecin;4715;3918;3865;53
321404;gm. Dolice;stargardzki;Szczecin;7612;6090;6044;46
321405;gm. Ińsko;stargardzki;Szczecin;3399;2855;2770;85
321406;gm. Kobylanka;stargardzki;Szczecin;5510;4440;4246;194
321408;gm. Marianowo;stargardzki;Szczecin;3038;2445;2397;48
321409;gm. Stara Dąbrowa;stargardzki;Szczecin;3711;2901;2845;56
321410;gm. Stargard;stargardzki;Szczecin;13320;10392;10223;169
321411;gm. Suchań;stargardzki;Szczecin;4120;3359;3326;33
Powiat szczecinecki;;;;73801;60473;59792;681
321501;m. Szczecinek;szczecinecki;Koszalin;36859;30578;30420;158
321502;gm. Barwice;szczecinecki;Koszalin;8431;6807;6760;47
321503;gm. Biały Bór;szczecinecki;Koszalin;5130;4177;4112;65
321504;gm. Borne Sulinowo;szczecinecki;Koszalin;9401;7691;7461;230
321505;gm. Grzmiąca;szczecinecki;Koszalin;4780;3915;3864;51
321506;gm. Szczecinek;szczecinecki;Koszalin;9200;7305;7175;130
Powiat świdwiński;;;;45442;37288;36944;344
321601;m. Świdwin;świdwiński;Koszalin;14697;12033;11913;120
321602;gm. Brzeżno;świdwiński;Koszalin;2705;2169;2146;23
321603;gm. Połczyn-Zdrój;świdwiński;Koszalin;14612;12223;12136;87
321604;gm. Rąbino;świdwiński;Koszalin;3630;2907;2879;28
321605;gm. Sławoborze;świdwiński;Koszalin;3952;3232;3181;51
321606;gm. Świdwin;świdwiński;Koszalin;5846;4724;4689;35
Powiat wałecki;;;;50797;41413;41071;342
321701;m. Wałcz;wałecki;Koszalin;23464;19511;19438;73
321702;gm. Człopa;wałecki;Koszalin;4957;4003;3927;76
321703;gm. Mirosławiec;wałecki;Koszalin;5241;4179;4092;87
321704;gm. Tuczno;wałecki;Koszalin;4799;3878;3822;56
321705;gm. Wałcz;wałecki;Koszalin;12336;9842;9792;50
Powiat łobeski;;;;35219;28800;28447;353
321801;gm. Dobra;łobeski;Szczecin;4193;3419;3350;69
321802;gm. Łobez;łobeski;Szczecin;13095;10809;10723;86
321803;gm. Radowo Małe;łobeski;Szczecin;3519;2909;2870;39
321804;gm. Resko;łobeski;Szczecin;7617;6110;6042;68
321805;gm. Węgorzyno;łobeski;Szczecin;6795;5553;5462;91
Miasto na prawach powiatu;;;;;;;
326101;m. Koszalin;Koszalin;Koszalin;99069;82155;81393;762
Miasto na prawach powiatu;;;;;;;
326201;m. Szczecin;Szczecin;Szczecin;358892;297067;294360;2707
Miasto na prawach powiatu;;;;;;;
326301;m. Świnoujście;Świnoujście;Szczecin;37347;31743;31337;406
Suma;;;;36872010;29936783;29597439;339344
