Kod TERYT;Gmina;Powiat;Delegatura;Liczba mieszkańców;Liczba wyborców ogółem;Liczba wyborców wpisanych z urzędu;Liczba wyborców ujętych w stałym obwodzie w CRW na wniosek
021501;m. Oława;oławski;Wrocław;30446;24736;24537;199
021502;gm. Domaniów;oławski;Wrocław;5017;4093;4034;59
021503;gm. Jelcz-Laskowice;oławski;Wrocław;21875;17635;17394;241
021504;gm. Oława;oławski;Wrocław;15038;12003;11791;212
Powiat polkowicki;;;;59442;47418;46865;553
021601;gm. Chocianów;polkowicki;Legnica;12097;9785;9645;140
021602;gm. Gaworzyce;polkowicki;Legnica;3724;2944;2874;70
021603;gm. Grębocice;polkowicki;Legnica;5414;4234;4214;20
021604;gm. Polkowice;polkowicki;Legnica;25415;20235;19993;242
021605;gm. Przemków;polkowicki;Legnica;7787;6327;6299;28
021606;gm. Radwanice;polkowicki;Legnica;5005;3893;3840;53
Powiat strzeliński;;;;41402;33910;33604;306
021701;gm. Borów;strzeliński;Wrocław;5094;4186;4143;43
021702;gm. Kondratowice;strzeliński;Wrocław;4088;3389;3303;86
021703;gm. Przeworno;strzeliński;Wrocław;4566;3759;3731;28
021704;gm. Strzelin;strzeliński;Wrocław;20760;16996;16910;86
021705;gm. Wiązów;strzeliński;Wrocław;6894;5580;5517;63
Powiat średzki;;;;54745;43513;42847;666
021801;gm. Kostomłoty;średzki;Wrocław;6841;5569;5496;73
021802;gm. Malczyce;średzki;Wrocław;5541;4557;4491;66
021803;gm. Miękinia;średzki;Wrocław;18749;14062;13765;297
021804;gm. Środa Śląska;średzki;Wrocław;18748;15275;15116;159
021805;gm. Udanin;średzki;Wrocław;4866;4050;3979;71
Powiat świdnicki;;;;143695;119053;118457;596
021901;m. Świdnica;świdnicki;Wałbrzych;49731;41940;41765;175
021902;m. Świebodzice;świdnicki;Wałbrzych;20448;17076;17010;66
021903;gm. Dobromierz;świdnicki;Wałbrzych;4902;4002;3961;41
021904;gm. Jaworzyna Śląska;świdnicki;Wałbrzych;9847;7993;7935;58
021905;gm. Marcinowice;świdnicki;Wałbrzych;6353;5161;5112;49
021906;gm. Strzegom;świdnicki;Wałbrzych;23516;19604;19577;27
021907;gm. Świdnica;świdnicki;Wałbrzych;17086;13716;13597;119
021908;gm. Żarów;świdnicki;Wałbrzych;11812;9561;9500;61
Powiat trzebnicki;;;;83068;66689;65310;1379
022001;gm. Oborniki Śląskie;trzebnicki;Wrocław;19947;16072;15655;417
022002;gm. Prusice;trzebnicki;Wrocław;9117;7373;7215;158
022003;gm. Trzebnica;trzebnicki;Wrocław;23509;18690;18522;168
022004;gm. Wisznia Mała;trzebnicki;Wrocław;10743;8532;8061;471
022005;gm. Zawonia;trzebnicki;Wrocław;5863;4708;4597;111
022006;gm. Żmigród;trzebnicki;Wrocław;13889;11314;11260;54
Powiat wałbrzyski;;;;50208;42151;41762;389
022101;m. Boguszów-Gorce;wałbrzyski;Wałbrzych;13301;11246;11205;41
022102;m. Jedlina-Zdrój;wałbrzyski;Wałbrzych;4204;3520;3492;28
022103;m. Szczawno-Zdrój;wałbrzyski;Wałbrzych;4974;4208;4151;57
022104;gm. Czarny Bór;wałbrzyski;Wałbrzych;4737;3835;3789;46
022105;gm. Głuszyca;wałbrzyski;Wałbrzych;7810;6671;6626;45
022106;gm. Mieroszów;wałbrzyski;Wałbrzych;5836;4929;4881;48
022107;gm. Stare Bogaczowice;wałbrzyski;Wałbrzych;4123;3366;3320;46
022108;gm. Walim;wałbrzyski;Wałbrzych;5223;4376;4298;78
Powiat wołowski;;;;44013;36209;35867;342
022201;gm. Brzeg Dolny;wołowski;Wrocław;15184;12505;12438;67
022202;gm. Wińsko;wołowski;Wrocław;8000;6575;6431;144
022203;gm. Wołów;wołowski;Wrocław;20829;17129;16998;131
Powiat wrocławski;;;;160461;121192;117004;4188
022301;gm. Czernica;wrocławski;Wrocław;19350;14386;13856;530
022302;gm. Długołęka;wrocławski;Wrocław;36942;27673;26319;1354
022303;gm. Jordanów Śląski;wrocławski;Wrocław;3169;2543;2484;59
022304;gm. Kąty Wrocławskie;wrocławski;Wrocław;25895;19845;19292;553
022305;gm. Kobierzyce;wrocławski;Wrocław;21863;16026;15597;429
022306;gm. Mietków;wrocławski;Wrocław;3751;3005;2909;96
022307;gm. Sobótka;wrocławski;Wrocław;12321;10041;9848;193
022308;gm. Siechnice;wrocławski;Wrocław;25333;18610;18025;585
022309;gm. Żórawina;wrocławski;Wrocław;11837;9063;8674;389
Powiat ząbkowicki;;;;59795;50154;49739;415
022401;gm. Bardo;ząbkowicki;Wałbrzych;4921;4053;3985;68
022402;gm. Ciepłowody;ząbkowicki;Wałbrzych;2896;2358;2324;34
022403;gm. Kamieniec Ząbkowicki;ząbkowicki;Wałbrzych;7550;6311;6241;70
022404;gm. Stoszowice;ząbkowicki;Wałbrzych;5063;4190;4174;16
022405;gm. Ząbkowice Śląskie;ząbkowicki;Wałbrzych;19766;16694;16577;117
022406;gm. Ziębice;ząbkowicki;Wałbrzych;15511;13047;12988;59
022407;gm. Złoty Stok;ząbkowicki;Wałbrzych;4088;3501;3450;51
Powiat zgorzelecki;;;;81601;67927;67316;611
022501;m. Zawidów;zgorzelecki;Jelenia Góra;3788;3142;3125;17
022502;m. Zgorzelec;zgorzelecki;Jelenia Góra;26779;22875;22676;199
022503;gm. Bogatynia;zgorzelecki;Jelenia Góra;20852;17309;17167;142
022504;gm. Pieńsk;zgorzelecki;Jelenia Góra;8252;6765;6710;55
022505;gm. Sulików;zgorzelecki;Jelenia Góra;5712;4597;4543;54
022506;gm. Węgliniec;zgorzelecki;Jelenia Góra;7630;6337;6293;44
022507;gm. Zgorzelec;zgorzelecki;Jelenia Góra;8588;6902;6802;100
Powiat złotoryjski;;;;39956;33052;32852;200
022601;m. Wojcieszów;złotoryjski;Jelenia Góra;3353;2773;2746;27
022602;m. Złotoryja;złotoryjski;Jelenia Góra;13684;11535;11481;54
022603;gm. Pielgrzymka;złotoryjski;Jelenia Góra;4323;3518;3489;29
022604;gm. Świerzawa;złotoryjski;Jelenia Góra;6992;5790;5742;48
022605;gm. Zagrodno;złotoryjski;Jelenia Góra;4902;4043;4029;14
022606;gm. Złotoryja;złotoryjski;Jelenia Góra;6702;5393;5365;28
Miasto na prawach powiatu;;;;;;;
026101;m. Jelenia Góra;Jelenia Góra;Jelenia Góra;68119;57991;57355;636
Miasto na prawach powiatu;;;;;;;
026201;m. Legnica;Legnica;Legnica;85499;71029;70702;327
Miasto na prawach powiatu;;;;;;;
026401;m. Wrocław;Wrocław;Wrocław;573958;466523;458104;8419
Miasto na prawach powiatu;;;;;;;
026501;m. Wałbrzych;Wałbrzych;Wałbrzych;91137;77957;77576;381
Powiat aleksandrowski;;;;52402;42920;42542;378
040101;m. Aleksandrów Kujawski;aleksandrowski;Włocławek;11145;9175;9126;49
040102;m. Ciechocinek;aleksandrowski;Włocławek;9658;8243;8138;105
040103;m. Nieszawa;aleksandrowski;Włocławek;1792;1499;1455;44
040104;gm. Aleksandrów Kujawski;aleksandrowski;Włocławek;11727;9321;9257;64
040105;gm. Bądkowo;aleksandrowski;Włocławek;4133;3362;3351;11
040106;gm. Koneck;aleksandrowski;Włocławek;3091;2540;2534;6
040107;gm. Raciążek;aleksandrowski;Włocławek;3065;2499;2451;48
040108;gm. Waganiec;aleksandrowski;Włocławek;4390;3540;3503;37
040109;gm. Zakrzewo;aleksandrowski;Włocławek;3401;2741;2727;14
Powiat brodnicki;;;;75454;59705;59363;342
040201;m. Brodnica;brodnicki;Toruń;25604;20782;20659;123
040202;gm. Bobrowo;brodnicki;Toruń;6178;4859;4832;27
040203;gm. Brodnica;brodnicki;Toruń;8972;6804;6794;10
040204;gm. Brzozie;brodnicki;Toruń;3806;2934;2921;13
040205;gm. Górzno;brodnicki;Toruń;3805;3001;2952;49
040206;gm. Bartniczka;brodnicki;Toruń;4624;3556;3549;7
040207;gm. Jabłonowo Pomorskie;brodnicki;Toruń;8561;6884;6857;27
040208;gm. Osiek;brodnicki;Toruń;3887;3052;3039;13
040209;gm. Świedziebnia;brodnicki;Toruń;5079;3985;3962;23
040210;gm. Zbiczno;brodnicki;Toruń;4938;3848;3798;50
Powiat bydgoski;;;;118627;92719;91925;794
040301;gm. Białe Błota;bydgoski;Bydgoszcz;23649;17943;17815;128
040302;gm. Dąbrowa Chełmińska;bydgoski;Bydgoszcz;8368;6613;6566;47
040303;gm. Dobrcz;bydgoski;Bydgoszcz;12126;9485;9332;153
040304;gm. Koronowo;bydgoski;Bydgoszcz;22595;18020;17893;127
040305;gm. Nowa Wieś Wielka;bydgoski;Bydgoszcz;10077;8064;7978;86
040306;gm. Osielsko;bydgoski;Bydgoszcz;16496;12460;12335;125
040307;gm. Sicienko;bydgoski;Bydgoszcz;10328;8008;7923;85
040308;gm. Solec Kujawski;bydgoski;Bydgoszcz;14988;12126;12083;43
Powiat chełmiński;;;;47343;38191;37848;343
040401;m. Chełmno;chełmiński;Toruń;16277;13647;13445;202
040402;gm. Chełmno;chełmiński;Toruń;6036;4677;4664;13
040403;gm. Kijewo Królewskie;chełmiński;Toruń;4402;3477;3464;13
040404;gm. Lisewo;chełmiński;Toruń;4827;3846;3800;46
040405;gm. Papowo Biskupie;chełmiński;Toruń;4112;3260;3243;17
040406;gm. Stolno;chełmiński;Toruń;5173;4078;4053;25
040407;gm. Unisław;chełmiński;Toruń;6516;5206;5179;27
Powiat golubsko-dobrzyński;;;;43057;34577;34296;281
040501;m. Golub-Dobrzyń;golubsko-dobrzyński;Toruń;10991;9021;8933;88
040502;gm. Ciechocin;golubsko-dobrzyński;Toruń;3933;3154;3137;17
040503;gm. Golub-Dobrzyń;golubsko-dobrzyński;Toruń;8869;6981;6926;55
040504;gm. Kowalewo Pomorskie;golubsko-dobrzyński;Toruń;11092;8900;8842;58
040505;gm. Radomin;golubsko-dobrzyński;Toruń;3916;3117;3082;35
040506;gm. Zbójno;golubsko-dobrzyński;Toruń;4256;3404;3376;28
Powiat grudziądzki;;;;39024;30652;30477;175
040601;gm. Grudziądz;grudziądzki;Toruń;13063;10125;10068;57
040602;gm. Gruta;grudziądzki;Toruń;6238;4943;4912;31
040603;gm. Łasin;grudziądzki;Toruń;7291;5776;5730;46
040604;gm. Radzyń Chełmiński;grudziądzki;Toruń;4401;3525;3506;19
040605;gm. Rogóźno;grudziądzki;Toruń;4031;3136;3126;10
040606;gm. Świecie nad Osą;grudziądzki;Toruń;4000;3147;3135;12
Powiat inowrocławski;;;;144964;119705;119186;519
040701;m. Inowrocław;inowrocławski;Bydgoszcz;62625;52824;52617;207
040702;gm. Dąbrowa Biskupia;inowrocławski;Bydgoszcz;4928;3914;3907;7
040703;gm. Gniewkowo;inowrocławski;Bydgoszcz;13299;10825;10745;80
040704;gm. Inowrocław;inowrocławski;Bydgoszcz;11724;9428;9399;29
040705;gm. Janikowo;inowrocławski;Bydgoszcz;12436;10211;10190;21
040706;gm. Kruszwica;inowrocławski;Bydgoszcz;17599;14505;14440;65
040707;gm. Pakość;inowrocławski;Bydgoszcz;9144;7395;7372;23
040708;gm. Rojewo;inowrocławski;Bydgoszcz;4504;3578;3540;38
040709;gm. Złotniki Kujawskie;inowrocławski;Bydgoszcz;8705;7025;6976;49
Powiat lipnowski;;;;62679;50238;49766;472
040801;m. Lipno;lipnowski;Włocławek;12858;10548;10454;94
040802;gm. Bobrowniki;lipnowski;Włocławek;3045;2422;2382;40
040803;gm. Chrostkowo;lipnowski;Włocławek;2820;2279;2252;27
040804;gm. Dobrzyń nad Wisłą;lipnowski;Włocławek;7176;5869;5822;47
040805;gm. Kikół;lipnowski;Włocławek;6784;5428;5388;40
040806;gm. Lipno;lipnowski;Włocławek;11506;9117;9051;66
040807;gm. Skępe;lipnowski;Włocławek;7229;5794;5743;51
040808;gm. Tłuchowo;lipnowski;Włocławek;4636;3661;3605;56
040809;gm. Wielgie;lipnowski;Włocławek;6625;5120;5069;51
Powiat mogileński;;;;43656;35439;35311;128
040901;gm. Dąbrowa;mogileński;Bydgoszcz;4434;3553;3542;11
040902;gm. Jeziora Wielkie;mogileński;Bydgoszcz;4639;3715;3700;15
040903;gm. Mogilno;mogileński;Bydgoszcz;23569;19221;19128;93
040904;gm. Strzelno;mogileński;Bydgoszcz;11014;8950;8941;9
Powiat nakielski;;;;80822;64641;64326;315
041001;gm. Kcynia;nakielski;Bydgoszcz;12344;9983;9933;50
041002;gm. Mrocza;nakielski;Bydgoszcz;8788;6938;6915;23
041003;gm. Nakło nad Notecią;nakielski;Bydgoszcz;28780;23328;23223;105
041004;gm. Sadki;nakielski;Bydgoszcz;7020;5520;5506;14
041005;gm. Szubin;nakielski;Bydgoszcz;23890;18872;18749;123
Powiat radziejowski;;;;38654;31845;31646;199
041101;m. Radziejów;radziejowski;Włocławek;5020;4285;4261;24
041102;gm. Bytoń;radziejowski;Włocławek;3386;2743;2708;35
041103;gm. Dobre;radziejowski;Włocławek;5011;4155;4140;15
041104;gm. Osięciny;radziejowski;Włocławek;7331;6029;5989;40
041105;gm. Piotrków Kujawski;radziejowski;Włocławek;8887;7266;7228;38
041106;gm. Radziejów;radziejowski;Włocławek;4320;3482;3477;5
041107;gm. Topólka;radziejowski;Włocławek;4699;3885;3843;42
Powiat rypiński;;;;41676;33732;33563;169
041201;m. Rypin;rypiński;Włocławek;14905;12252;12211;41
041202;gm. Brzuze;rypiński;Włocławek;5099;4125;4091;34
041203;gm. Rogowo;rypiński;Włocławek;4642;3729;3699;30
041204;gm. Rypin;rypiński;Włocławek;7421;5866;5829;37
041205;gm. Skrwilno;rypiński;Włocławek;5652;4578;4570;8
041206;gm. Wąpielsk;rypiński;Włocławek;3957;3182;3163;19
Powiat sępoleński;;;;38811;30805;30612;193
041301;gm. Kamień Krajeński;sępoleński;Bydgoszcz;6641;5177;5149;28
041302;gm. Sępólno Krajeńskie;sępoleński;Bydgoszcz;14999;12027;11955;72
041303;gm. Sośno;sępoleński;Bydgoszcz;4684;3659;3633;26
041304;gm. Więcbork;sępoleński;Bydgoszcz;12487;9942;9875;67
Powiat świecki;;;;91525;73365;72987;378
041401;gm. Bukowiec;świecki;Bydgoszcz;4882;3815;3785;30
041402;gm. Dragacz;świecki;Bydgoszcz;6706;5331;5283;48
041403;gm. Drzycim;świecki;Bydgoszcz;4847;3808;3775;33
041404;gm. Jeżewo;świecki;Bydgoszcz;7663;6040;6023;17
041405;gm. Lniano;świecki;Bydgoszcz;4137;3209;3183;26
041406;gm. Nowe;świecki;Bydgoszcz;9273;7578;7550;28
041407;gm. Osie;świecki;Bydgoszcz;5383;4277;4248;29
041408;gm. Pruszcz;świecki;Bydgoszcz;8958;7131;7081;50
041409;gm. Świecie;świecki;Bydgoszcz;30035;24443;24404;39
041410;gm. Świekatowo;świecki;Bydgoszcz;3610;2887;2855;32
041411;gm. Warlubie;świecki;Bydgoszcz;6031;4846;4800;46
Powiat toruński;;;;108120;84167;83431;736
041501;m. Chełmża;toruński;Toruń;12706;10373;10319;54
041502;gm. Chełmża;toruński;Toruń;9361;7447;7376;71
041503;gm. Czernikowo;toruński;Toruń;8844;6927;6806;121
041504;gm. Lubicz;toruński;Toruń;19884;15608;15513;95
041505;gm. Łubianka;toruński;Toruń;7748;5879;5836;43
041506;gm. Łysomice;toruński;Toruń;10429;8095;8017;78
041507;gm. Obrowo;toruński;Toruń;19123;14377;14216;161
041508;gm. Wielka Nieszawka;toruński;Toruń;5149;3995;3956;39
041509;gm. Zławieś Wielka;toruński;Toruń;14876;11466;11392;74
Powiat tucholski;;;;46544;36892;36634;258
041601;gm. Cekcyn;tucholski;Bydgoszcz;6886;5321;5260;61
041602;gm. Gostycyn;tucholski;Bydgoszcz;5034;3983;3961;22
041603;gm. Kęsowo;tucholski;Bydgoszcz;4431;3444;3434;10
041604;gm. Lubiewo;tucholski;Bydgoszcz;5918;4606;4578;28
041605;gm. Śliwice;tucholski;Bydgoszcz;5573;4456;4415;41
041606;gm. Tuchola;tucholski;Bydgoszcz;18702;15082;14986;96
Powiat wąbrzeski;;;;31829;25644;25523;121
041701;m. Wąbrzeźno;wąbrzeski;Toruń;11800;9760;9678;82
041702;gm. Dębowa Łąka;wąbrzeski;Toruń;3124;2440;2437;3
041703;gm. Książki;wąbrzeski;Toruń;3932;3157;3148;9
041704;gm. Płużnica;wąbrzeski;Toruń;4524;3607;3584;23
041705;gm. Ryńsk;wąbrzeski;Toruń;8449;6680;6676;4
Powiat włocławski;;;;83081;67772;67312;461
041801;m. Kowal;włocławski;Włocławek;3258;2731;2705;26
041802;gm. Baruchowo;włocławski;Włocławek;3370;2742;2723;19
041803;gm. Boniewo;włocławski;Włocławek;3282;2692;2674;18
041804;gm. Brześć Kujawski;włocławski;Włocławek;10819;8906;8857;49
041805;gm. Choceń;włocławski;Włocławek;7726;6250;6184;66
041806;gm. Chodecz;włocławski;Włocławek;5660;4699;4669;30
041807;gm. Fabianki;włocławski;Włocławek;9946;7966;7917;49
041808;gm. Izbica Kujawska;włocławski;Włocławek;7395;5937;5913;25
041809;gm. Kowal;włocławski;Włocławek;3892;3176;3153;23
041810;gm. Lubanie;włocławski;Włocławek;4437;3636;3610;26
041811;gm. Lubień Kujawski;włocławski;Włocławek;6881;5651;5600;51
041812;gm. Lubraniec;włocławski;Włocławek;9049;7484;7457;27
041813;gm. Włocławek;włocławski;Włocławek;7366;5902;5850;52
Powiat żniński;;;;66610;53801;53432;369
041901;gm. Barcin;żniński;Bydgoszcz;13530;11027;10893;134
041902;gm. Gąsawa;żniński;Bydgoszcz;5069;4082;4059;23
041903;gm. Janowiec Wielkopolski;żniński;Bydgoszcz;8509;6859;6821;38
041904;gm. Łabiszyn;żniński;Bydgoszcz;10125;8056;8015;41
041905;gm. Rogowo;żniński;Bydgoszcz;6586;5219;5189;30
041906;gm. Żnin;żniński;Bydgoszcz;22791;18558;18455;103
Miasto na prawach powiatu;;;;;;;
046101;m. Bydgoszcz;Bydgoszcz;Bydgoszcz;293015;243763;242165;1597
Miasto na prawach powiatu;;;;;;;
046201;m. Grudziądz;Grudziądz;Toruń;76860;63755;63236;519
Miasto na prawach powiatu;;;;;;;
046301;m. Toruń;Toruń;Toruń;172196;142307;141403;904
Miasto na prawach powiatu;;;;;;;
046401;m. Włocławek;Włocławek;Włocławek;95356;80660;80249;411
Powiat bialski;;;;107857;87120;86080;1040
060101;m. Międzyrzec Podlaski;bialski;Biała Podlaska;15816;12957;12879;78
060102;m. Terespol;bialski;Biała Podlaska;5313;4390;4364;26
060103;gm. Biała Podlaska;bialski;Biała Podlaska;14840;11620;11374;246
060104;gm. Drelów;bialski;Biała Podlaska;5277;4211;4192;19
060105;gm. Janów Podlaski;bialski;Biała Podlaska;5010;4048;3999;49
060106;gm. Kodeń;bialski;Biała Podlaska;3429;2837;2761;76
060107;gm. Konstantynów;bialski;Biała Podlaska;3974;3145;3068;77
060108;gm. Leśna Podlaska;bialski;Biała Podlaska;4195;3396;3356;40
060109;gm. Łomazy;bialski;Biała Podlaska;4818;3991;3940;51
060110;gm. Międzyrzec Podlaski;bialski;Biała Podlaska;10335;8114;8070;44
060111;gm. Piszczac;bialski;Biała Podlaska;7004;5668;5605;63
060112;gm. Rokitno;bialski;Biała Podlaska;2848;2296;2263;33
060113;gm. Rossosz;bialski;Biała Podlaska;2157;1795;1778;17
060114;gm. Sławatycze;bialski;Biała Podlaska;2315;1855;1822;33
060115;gm. Sosnówka;bialski;Biała Podlaska;2349;1917;1882;35
060116;gm. Terespol;bialski;Biała Podlaska;6238;5131;5100;31
060117;gm. Tuczna;bialski;Biała Podlaska;2917;2403;2381;22
060118;gm. Wisznice;bialski;Biała Podlaska;4740;3907;3862;45
060119;gm. Zalesie;bialski;Biała Podlaska;4282;3439;3384;55
Powiat biłgorajski;;;;98217;80715;80306;409
060201;m. Biłgoraj;biłgorajski;Zamość;25028;20818;20674;144
060202;gm. Aleksandrów;biłgorajski;Zamość;3266;2592;2583;9
060203;gm. Biłgoraj;biłgorajski;Zamość;13409;10682;10659;23
060204;gm. Biszcza;biłgorajski;Zamość;3767;3057;3035;22
060205;gm. Frampol;biłgorajski;Zamość;5905;4876;4870;6
060206;gm. Goraj;biłgorajski;Zamość;4003;3314;3302;12
060207;gm. Józefów;biłgorajski;Zamość;6564;5543;5510;33
060208;gm. Księżpol;biłgorajski;Zamość;6843;5475;5456;19
060209;gm. Łukowa;biłgorajski;Zamość;4143;3363;3352;11
060210;gm. Obsza;biłgorajski;Zamość;4129;3365;3354;11
060211;gm. Potok Górny;biłgorajski;Zamość;5145;4303;4255;48
060212;gm. Tarnogród;biłgorajski;Zamość;6420;5284;5270;14
060213;gm. Tereszpol;biłgorajski;Zamość;3887;3154;3134;20
060214;gm. Turobin;biłgorajski;Zamość;5708;4889;4852;37
Powiat chełmski;;;;75395;61441;60739;702
060301;m. Rejowiec Fabryczny;chełmski;Chełm;4106;3421;3379;42
060302;gm. Białopole;chełmski;Chełm;2825;2334;2316;18
060303;gm. Chełm;chełmski;Chełm;14990;11889;11772;117
060304;gm. Dorohusk;chełmski;Chełm;6066;4974;4905;69
060305;gm. Dubienka;chełmski;Chełm;2278;1891;1853;38
060306;gm. Kamień;chełmski;Chełm;4151;3298;3266;32
060307;gm. Leśniowice;chełmski;Chełm;3491;2885;2834;51
060308;gm. Rejowiec Fabryczny;chełmski;Chełm;3986;3267;3237;30
060309;gm. Ruda-Huta;chełmski;Chełm;4308;3536;3505;31
060310;gm. Sawin;chełmski;Chełm;5203;4262;4214;48
060311;gm. Siedliszcze;chełmski;Chełm;6509;5252;5209;43
060312;gm. Wierzbica;chełmski;Chełm;4966;4038;3972;66
060313;gm. Wojsławice;chełmski;Chełm;3612;3011;2946;65
060314;gm. Żmudź;chełmski;Chełm;2954;2419;2379;40
060315;gm. Rejowiec;chełmski;Chełm;5950;4964;4952;12
Powiat hrubieszowski;;;;59091;49709;49477;232
060401;m. Hrubieszów;hrubieszowski;Zamość;15760;13357;13306;51
060402;gm. Dołhobyczów;hrubieszowski;Zamość;5072;4243;4226;17
060403;gm. Horodło;hrubieszowski;Zamość;4851;4069;4026;43
060404;gm. Hrubieszów;hrubieszowski;Zamość;9661;8004;7983;21
060405;gm. Mircze;hrubieszowski;Zamość;6590;5625;5598;27
060406;gm. Trzeszczany;hrubieszowski;Zamość;3914;3320;3310;10
060407;gm. Uchanie;hrubieszowski;Zamość;4308;3627;3603;24
060408;gm. Werbkowice;hrubieszowski;Zamość;8935;7464;7425;39
Powiat janowski;;;;44038;36315;36113;202
060501;gm. Batorz;janowski;Lublin;3172;2607;2598;9
060502;gm. Chrzanów;janowski;Lublin;2835;2315;2309;6
060503;gm. Dzwola;janowski;Lublin;6076;4983;4970;13
060504;gm. Godziszów;janowski;Lublin;5593;4614;4609;5
060505;gm. Janów Lubelski;janowski;Lublin;14911;12436;12337;99
060506;gm. Modliborzyce;janowski;Lublin;6923;5637;5592;45
060507;gm. Potok Wielki;janowski;Lublin;4528;3723;3698;25
Powiat krasnostawski;;;;60045;50613;50079;534
060601;m. Krasnystaw;krasnostawski;Chełm;17272;14689;14570;119
060602;gm. Fajsławice;krasnostawski;Chełm;4467;3725;3710;15
060603;gm. Gorzków;krasnostawski;Chełm;3281;2804;2766;38
060604;gm. Izbica;krasnostawski;Chełm;7863;6538;6462;76
060605;gm. Krasnystaw;krasnostawski;Chełm;8173;6752;6727;25
060606;gm. Kraśniczyn;krasnostawski;Chełm;3378;2921;2848;73
060607;gm. Łopiennik Górny;krasnostawski;Chełm;3752;3146;3098;48
060609;gm. Rudnik;krasnostawski;Chełm;2862;2449;2386;63
060610;gm. Siennica Różana;krasnostawski;Chełm;3968;3330;3307;23
060611;gm. Żółkiewka;krasnostawski;Chełm;5029;4259;4205;54
Powiat kraśnicki;;;;90003;74734;74182;552
060701;m. Kraśnik;kraśnicki;Lublin;30773;26225;25991;234
060702;gm. Annopol;kraśnicki;Lublin;8272;6771;6713;58
060703;gm. Dzierzkowice;kraśnicki;Lublin;5223;4256;4253;3
060704;gm. Gościeradów;kraśnicki;Lublin;6982;5687;5642;45
060705;gm. Kraśnik;kraśnicki;Lublin;7087;5801;5784;17
060706;gm. Szastarka;kraśnicki;Lublin;5611;4598;4577;21
060707;gm. Trzydnik Duży;kraśnicki;Lublin;6159;5114;5088;26
060708;gm. Urzędów;kraśnicki;Lublin;8229;6783;6696;87
060709;gm. Wilkołaz;kraśnicki;Lublin;5421;4353;4338;15
060710;gm. Zakrzówek;kraśnicki;Lublin;6246;5146;5100;46
Powiat lubartowski;;;;85354;69437;68873;564
060801;m. Lubartów;lubartowski;Lublin;20198;16678;16578;100
060802;gm. Abramów;lubartowski;Lublin;3965;3241;3228;13
060803;gm. Firlej;lubartowski;Lublin;5751;4652;4608;44
060804;gm. Jeziorzany;lubartowski;Lublin;2618;2143;2129;14
060805;gm. Kamionka;lubartowski;Lublin;6382;5175;5142;33
060806;gm. Kock;lubartowski;Lublin;6100;4997;4969;28
060807;gm. Lubartów;lubartowski;Lublin;11629;9212;9162;50
060808;gm. Michów;lubartowski;Lublin;5683;4729;4637;92
060809;gm. Niedźwiada;lubartowski;Lublin;6219;5052;5033;19
060810;gm. Ostrów Lubelski;lubartowski;Lublin;5104;4130;4080;50
060811;gm. Ostrówek;lubartowski;Lublin;3780;3022;2995;27
060812;gm. Serniki;lubartowski;Lublin;4865;3919;3875;44
060813;gm. Uścimów;lubartowski;Lublin;3060;2487;2437;50
Powiat lubelski;;;;156992;124777;122940;1837
060901;gm. Bełżyce;lubelski;Lublin;12774;10284;10217;67
060902;gm. Borzechów;lubelski;Lublin;3841;3047;2958;89
060903;gm. Bychawa;lubelski;Lublin;11087;9140;9119;21
060904;gm. Garbów;lubelski;Lublin;8990;7190;7118;72
060905;gm. Głusk;lubelski;Lublin;13040;9819;9574;245
060906;gm. Jabłonna;lubelski;Lublin;8023;6437;6350;87
060907;gm. Jastków;lubelski;Lublin;14340;11344;11205;139
060908;gm. Konopnica;lubelski;Lublin;14348;11401;11185;216
060909;gm. Krzczonów;lubelski;Lublin;4288;3590;3447;143
060910;gm. Niedrzwica Duża;lubelski;Lublin;11913;9359;9268;91
060911;gm. Niemce;lubelski;Lublin;20556;16223;15926;297
060912;gm. Strzyżewice;lubelski;Lublin;7972;6395;6327;68
060913;gm. Wojciechów;lubelski;Lublin;5924;4760;4700;60
060914;gm. Wólka;lubelski;Lublin;12851;9914;9779;135
060915;gm. Wysokie;lubelski;Lublin;4234;3561;3498;63
060916;gm. Zakrzew;lubelski;Lublin;2811;2313;2269;44
Powiat łęczyński;;;;55079;43983;43624;359
061001;gm. Cyców;łęczyński;Lublin;7686;6017;5960;57
061002;gm. Ludwin;łęczyński;Lublin;5641;4384;4346;38
061003;gm. Łęczna;łęczyński;Lublin;21729;17557;17491;66
061004;gm. Milejów;łęczyński;Lublin;8617;7075;7039;36
061005;gm. Puchaczów;łęczyński;Lublin;5636;4409;4313;96
061006;gm. Spiczyn;łęczyński;Lublin;5770;4541;4475;66
Powiat łukowski;;;;103918;81991;81427;564
061101;m. Łuków;łukowski;Lublin;27364;22344;22191;153
061102;m. Stoczek Łukowski;łukowski;Lublin;2429;2008;1979;29
061103;gm. Adamów;łukowski;Lublin;5434;4324;4291;33
061104;gm. Krzywda;łukowski;Lublin;10263;7898;7843;55
061105;gm. Łuków;łukowski;Lublin;18494;13995;13956;39
061106;gm. Serokomla;łukowski;Lublin;3981;3135;3090;45
061107;gm. Stanin;łukowski;Lublin;9561;7417;7382;35
061108;gm. Stoczek Łukowski;łukowski;Lublin;7658;6114;6046;68
061109;gm. Trzebieszów;łukowski;Lublin;7384;5747;5719;28
061110;gm. Wojcieszków;łukowski;Lublin;6739;5286;5266;20
