Kod TERYT;Gmina;Powiat;Delegatura;Liczba mieszkańców;Liczba wyborców ogółem;Liczba wyborców wpisanych z urzędu;Liczba wyborców ujętych w stałym obwodzie w CRW na wniosek
140304;gm. Garwolin;garwoliński;Siedlce;13550;10302;10239;63
140305;gm. Górzno;garwoliński;Siedlce;6678;5062;5030;32
140306;gm. Łaskarzew;garwoliński;Siedlce;5363;4203;4185;18
140307;gm. Maciejowice;garwoliński;Siedlce;6808;5564;5525;39
140308;gm. Miastków Kościelny;garwoliński;Siedlce;4775;3743;3712;31
140309;gm. Parysów;garwoliński;Siedlce;4195;3203;3132;71
140310;gm. Pilawa;garwoliński;Siedlce;10812;8411;8281;130
140311;gm. Sobolew;garwoliński;Siedlce;8122;6282;6243;39
140312;gm. Trojanów;garwoliński;Siedlce;7241;5699;5662;37
140313;gm. Wilga;garwoliński;Siedlce;5195;4191;4082;109
140314;gm. Żelechów;garwoliński;Siedlce;8195;6411;6341;70
Powiat gostyniński;;;;42340;34971;34666;305
140401;m. Gostynin;gostyniński;Płock;16595;13943;13901;42
140402;gm. Gostynin;gostyniński;Płock;11774;9581;9465;116
140403;gm. Pacyna;gostyniński;Płock;3372;2772;2707;65
140404;gm. Sanniki;gostyniński;Płock;5807;4761;4719;42
140405;gm. Szczawin Kośc.;gostyniński;Płock;4792;3914;3874;40
Powiat grodziski;;;;96794;75105;72765;2340
140501;m. Milanówek;grodziski;Warszawa;15773;12799;12255;544
140502;m. Podkowa Leśna;grodziski;Warszawa;3768;3122;2874;248
140503;gm. Baranów;grodziski;Warszawa;5216;4061;3948;113
140504;gm. Grodzisk Mazowiecki;grodziski;Warszawa;49195;37494;36778;716
140505;gm. Jaktorów;grodziski;Warszawa;12923;9977;9757;220
140506;gm. Żabia Wola;grodziski;Warszawa;9919;7652;7153;499
Powiat grójecki;;;;95175;76600;75301;1299
140601;gm. Belsk Duży;grójecki;Radom;6259;5126;5078;48
140602;gm. Błędów;grójecki;Radom;7251;5944;5901;43
140603;gm. Chynów;grójecki;Radom;9863;7830;7608;222
140604;gm. Goszczyn;grójecki;Radom;2913;2317;2212;105
140605;gm. Grójec;grójecki;Radom;24540;19570;19196;374
140606;gm. Jasieniec;grójecki;Radom;5295;4221;4164;57
140607;gm. Mogielnica;grójecki;Radom;8347;6880;6807;73
140608;gm. Nowe Miasto nad Pilicą;grójecki;Radom;7368;6087;5972;115
